WAVELENGTH FLUX
100.5 1.4263487029726426e-16
101.5 1.4263487029726426e-16
102.5 1.4263487029726426e-16
103.5 1.4263487029726426e-16
104.5 1.4263487029726426e-16
105.5 1.4263487029726426e-16
106.5 1.4263487029726426e-16
107.5 1.4263487029726426e-16
108.5 1.4263487029726426e-16
109.5 1.4263487029726426e-16
110.5 1.4263487029726426e-16
111.5 1.4263487029726426e-16
112.5 1.4263487029726426e-16
113.5 1.4263487029726426e-16
114.5 1.4263487029726426e-16
115.5 1.4263487029726426e-16
116.5 1.4263487029726426e-16
117.5 1.4263487029726426e-16
118.5 1.4263487029726426e-16
119.5 1.4263487029726426e-16
120.5 1.4263487029726426e-16
121.5 1.4263487029726426e-16
122.5 1.4263487029726426e-16
123.5 1.4263487029726426e-16
124.5 1.4263487029726426e-16
125.5 1.4263487029726426e-16
126.5 1.4263487029726426e-16
127.5 1.4263487029726426e-16
128.5 1.4263487029726426e-16
129.5 1.4263487029726426e-16
130.5 1.4263487029726426e-16
131.5 1.4263487029726426e-16
132.5 1.4263487029726426e-16
133.5 1.4263487029726426e-16
134.5 1.4263487029726426e-16
135.5 1.4263487029726426e-16
136.5 1.4263487029726426e-16
137.5 1.4263487029726426e-16
138.5 1.4263487029726426e-16
139.5 1.4263487029726426e-16
140.5 1.4263487029726426e-16
141.5 1.4263487029726426e-16
142.5 1.4263487029726426e-16
143.5 1.4263487029726426e-16
144.5 1.4263487029726426e-16
145.5 1.4263487029726426e-16
146.5 1.4263487029726426e-16
147.5 1.4263487029726426e-16
148.5 1.4263487029726426e-16
149.5 1.4263487029726426e-16
150.5 1.4263487029726426e-16
151.5 1.4263487029726426e-16
152.5 1.4263487029726426e-16
153.5 1.4263487029726426e-16
154.5 1.4263487029726426e-16
155.5 1.4263487029726426e-16
156.5 1.4263487029726426e-16
157.5 1.4263487029726426e-16
158.5 1.4263487029726426e-16
159.5 1.4263487029726426e-16
160.5 1.4263487029726426e-16
161.5 1.4263487029726426e-16
162.5 1.4263487029726426e-16
163.5 1.4263487029726426e-16
164.5 1.4263487029726426e-16
165.5 1.4263487029726426e-16
166.5 1.4263487029726426e-16
167.5 1.4263487029726426e-16
168.5 1.4263487029726426e-16
169.5 1.4263487029726426e-16
170.5 1.4263487029726426e-16
171.5 1.4263487029726426e-16
172.5 1.4263487029726426e-16
173.5 1.4263487029726426e-16
174.5 1.4263487029726426e-16
175.5 1.4263487029726426e-16
176.5 1.4263487029726426e-16
177.5 1.4263487029726426e-16
178.5 1.4263487029726426e-16
179.5 1.4263487029726426e-16
180.5 1.4263487029726426e-16
181.5 1.4263487029726426e-16
182.5 1.4263487029726426e-16
183.5 1.4263487029726426e-16
184.5 1.4263487029726426e-16
185.5 1.4263487029726426e-16
186.5 1.4263487029726426e-16
187.5 1.4263487029726426e-16
188.5 1.4263487029726426e-16
189.5 1.4263487029726426e-16
190.5 1.4263487029726426e-16
191.5 1.4263487029726426e-16
192.5 1.4263487029726426e-16
193.5 1.4263487029726426e-16
194.5 1.4263487029726426e-16
195.5 1.4263487029726426e-16
196.5 1.4263487029726426e-16
197.5 1.4263487029726426e-16
198.5 1.4263487029726426e-16
199.5 1.4263487029726426e-16
200.5 1.2509089837441656e-16
201.5 1.2509089837441656e-16
202.5 1.2509089837441656e-16
203.5 1.2509089837441656e-16
204.5 1.2509089837441656e-16
205.5 1.2509089837441656e-16
206.5 1.2509089837441656e-16
207.5 1.2509089837441656e-16
208.5 1.2509089837441656e-16
209.5 1.2509089837441656e-16
210.5 1.2509089837441656e-16
211.5 1.2509089837441656e-16
212.5 1.2509089837441656e-16
213.5 1.2509089837441656e-16
214.5 1.2509089837441656e-16
215.5 1.2509089837441656e-16
216.5 1.2509089837441656e-16
217.5 1.2509089837441656e-16
218.5 1.2509089837441656e-16
219.5 1.2509089837441656e-16
220.5 1.2509089837441656e-16
221.5 1.2509089837441656e-16
222.5 1.2509089837441656e-16
223.5 1.2509089837441656e-16
224.5 1.2509089837441656e-16
225.5 1.2509089837441656e-16
226.5 1.2509089837441656e-16
227.5 1.2509089837441656e-16
228.5 1.2509089837441656e-16
229.5 1.2509089837441656e-16
230.5 1.2509089837441656e-16
231.5 1.2509089837441656e-16
232.5 1.2509089837441656e-16
233.5 1.2509089837441656e-16
234.5 1.2509089837441656e-16
235.5 1.2509089837441656e-16
236.5 1.2509089837441656e-16
237.5 1.2509089837441656e-16
238.5 1.2509089837441656e-16
239.5 1.2509089837441656e-16
240.5 1.2509089837441656e-16
241.5 1.2509089837441656e-16
242.5 1.2509089837441656e-16
243.5 1.2509089837441656e-16
244.5 1.2509089837441656e-16
245.5 1.2509089837441656e-16
246.5 1.2509089837441656e-16
247.5 1.2509089837441656e-16
248.5 1.2509089837441656e-16
249.5 1.2509089837441656e-16
250.5 1.2509089837441656e-16
251.5 1.2509089837441656e-16
252.5 1.2509089837441656e-16
253.5 1.2509089837441656e-16
254.5 1.2509089837441656e-16
255.5 1.2509089837441656e-16
256.5 1.2509089837441656e-16
257.5 1.2509089837441656e-16
258.5 1.2509089837441656e-16
259.5 1.2509089837441656e-16
260.5 1.2509089837441656e-16
261.5 1.2509089837441656e-16
262.5 1.2509089837441656e-16
263.5 1.2509089837441656e-16
264.5 1.2509089837441656e-16
265.5 1.2509089837441656e-16
266.5 1.2509089837441656e-16
267.5 1.2509089837441656e-16
268.5 1.2509089837441656e-16
269.5 1.2509089837441656e-16
270.5 1.2509089837441656e-16
271.5 1.2509089837441656e-16
272.5 1.2509089837441656e-16
273.5 1.2509089837441656e-16
274.5 1.2509089837441656e-16
275.5 1.2509089837441656e-16
276.5 1.2509089837441656e-16
277.5 1.2509089837441656e-16
278.5 1.2509089837441656e-16
279.5 1.2509089837441656e-16
280.5 1.2509089837441656e-16
281.5 1.2509089837441656e-16
282.5 1.2509089837441656e-16
283.5 1.2509089837441656e-16
284.5 1.2509089837441656e-16
285.5 1.2509089837441656e-16
286.5 1.2509089837441656e-16
287.5 1.2509089837441656e-16
288.5 1.2509089837441656e-16
289.5 1.2509089837441656e-16
290.5 1.2509089837441656e-16
291.5 1.2509089837441656e-16
292.5 1.2509089837441656e-16
293.5 1.2509089837441656e-16
294.5 1.2509089837441656e-16
295.5 1.2509089837441656e-16
296.5 1.2509089837441656e-16
297.5 1.2509089837441656e-16
298.5 1.2509089837441656e-16
299.5 1.2509089837441656e-16
300.5 1.1046525807974836e-16
301.5 1.1046525807974836e-16
302.5 1.1046525807974836e-16
303.5 1.1046525807974836e-16
304.5 1.1046525807974836e-16
305.5 1.1046525807974836e-16
306.5 1.1046525807974836e-16
307.5 1.1046525807974836e-16
308.5 1.1046525807974836e-16
309.5 1.1046525807974836e-16
310.5 1.1046525807974836e-16
311.5 1.1046525807974836e-16
312.5 1.1046525807974836e-16
313.5 1.1046525807974836e-16
314.5 1.1046525807974836e-16
315.5 1.1046525807974836e-16
316.5 1.1046525807974836e-16
317.5 1.1046525807974836e-16
318.5 1.1046525807974836e-16
319.5 1.1046525807974836e-16
320.5 1.1046525807974836e-16
