WAVELENGTH FLUX
4.96036005 1.4889674372581186e-17
4.9623456 1.491581226624756e-17
4.96433258 1.4948214604434154e-17
4.96632099 1.4970831346690824e-17
4.96831083 1.5029274496605287e-17
4.97030258 1.5051475612278085e-17
4.97229624 1.5042813179762387e-17
4.97429085 1.5061199693018293e-17
4.97628736 1.508535544940165e-17
4.97828579 1.5111204870732062e-17
4.98028517 1.5146363628437627e-17
4.98228645 1.5170831202750008e-17
4.98428965 1.5199685567228404e-17
4.98629427 1.5286353615297204e-17
4.98830032 1.524736064735182e-17
4.99030781 1.5273525465879267e-17
4.9923172 1.5281671429576922e-17
4.9943285 1.5306267145124802e-17
4.99634123 1.5325298193084606e-17
4.99835539 1.5347724593206817e-17
5.00037098 1.537108648302101e-17
5.00238848 1.5394421921522657e-17
5.00440788 1.541757050195179e-17
5.00642872 1.5442940783633714e-17
5.00845098 1.548818766583876e-17
5.01047516 1.557707502766636e-17
5.01250076 1.566565032417743e-17
5.0145278 1.5558738619517626e-17
5.01655674 1.5558285869461762e-17
5.01858759 1.5636180788777786e-17
5.02061987 1.5854073221837078e-17
5.02265358 1.5702708344779952e-17
5.0246892 1.5911503388871702e-17
5.02672625 1.740320007955807e-17
5.0287652 1.614253691721808e-17
5.03080559 1.574450016910186e-17
5.03284788 1.578402231419447e-17
5.03489161 1.6412364922179855e-17
5.03693676 3.7180220094399347e-17
5.03898382 8.163947849555718e-16
5.04103279 1.853673680602253e-16
5.04308319 3.056828453664713e-16
5.0451355 1.9396648449998103e-17
5.04718924 1.016218001162421e-16
5.04924488 2.5914074119455937e-16
5.05130196 1.6219190305802182e-17
5.05336046 1.6348633574473345e-17
5.05542088 1.6239725227332038e-17
5.0574832 4.675401931244392e-17
5.05954695 1.8670560409730368e-17
5.06161261 8.504440798336688e-17
5.0636797 1.1931087801873523e-16
5.06574869 3.1002852662571374e-16
5.0678196 2.830463023561776e-17
5.06989193 3.5740548044785673e-17
5.07196569 2.157064040512221e-17
5.07404137 1.9085147685846185e-17
5.07611895 1.7441579478310496e-17
5.07819796 1.938037526739536e-17
5.08027887 1.7297900024751994e-17
5.08236122 1.654889180191531e-17
5.08444548 6.989131702247244e-17
5.08653116 1.0012354557688321e-16
5.08861923 2.1560253774546325e-17
5.09070826 1.6101374181333755e-17
5.09279966 7.723218849576981e-17
5.09489202 1.584218995613537e-17
5.09698677 1.6262656032099048e-17
5.09908295 3.001713607024819e-16
5.10118103 5.066367496122762e-16
5.10328054 4.0304230459414035e-16
5.10538197 1.592598572698471e-17
5.10748529 1.5813699075436318e-17
5.10959005 1.5834725805035663e-17
5.11169672 1.5863895617945662e-17
5.11380482 1.587887426556966e-17
5.1159153 1.5907979691292202e-17
5.11802673 1.5920719820040402e-17
5.12014055 1.6218640389003314e-17
5.1222558 1.779000755205597e-17
5.12437296 1.6321783247311856e-17
5.12649155 2.2702479826811102e-17
5.12861252 1.8334508493216816e-17
5.13073444 1.691345356531859e-17
5.13285875 2.7308986268441045e-17
5.13498449 3.0533656873422446e-17
5.13711214 1.6181009860703538e-17
5.1392417 1.6171541280816934e-17
5.14137268 1.6154593506743166e-17
5.14350557 1.6184048742956033e-17
5.14564037 2.892520926805188e-17
5.1477766 1.622651927759515e-17
5.14991474 1.6228177562692017e-17
5.15205479 1.6254282800451673e-17
5.15419674 1.6280055658609523e-17
5.15634012 1.6298550414581575e-17
5.15848589 1.6317690899618187e-17
5.16063261 1.6372371448591554e-17
5.16278172 3.6235258819934524e-17
5.16493225 1.642645989960805e-17
5.16708469 1.642156344637227e-17
5.16923904 1.6430343063988073e-17
5.1713953 1.645024671556476e-17
5.17355299 1.647752271202693e-17
5.17571306 1.6529685261940187e-17
5.17787457 1.6757043205394423e-17
5.1800375 1.6648578291151345e-17
5.18220282 1.6636385648478357e-17
5.18436956 1.667477115442334e-17
5.1865387 4.7242517369199726e-17
5.18870926 1.6712995656753924e-17
5.19088125 1.6696891846283365e-17
5.19305563 1.6715560008417237e-17
5.19523144 1.674424319118807e-17
5.19740963 1.6776080537547547e-17
5.19958925 1.680686692495018e-17
5.20177078 1.68378197923419e-17
5.20395374 1.6868843724732994e-17
5.20613909 1.695849947070578e-17
5.20832634 2.2078896274454837e-17
5.21051502 1.70666248783439e-17
5.21270561 2.592006679968987e-17
5.21489811 1.754131240406823e-17
5.21709251 2.7684431942052407e-17
5.21928883 1.7658148935400183e-17
5.22148657 1.71863649820428e-17
