WAVELENGTH,FLUX
1214.5358706013978,4.633358103152554e-17
1214.5892200605686,6.551830719836625e-17
1214.6425691729878,8.254446490326232e-17
1214.6959179386622,1.055511696800387e-16
1214.7492663575983,1.3930757275931106e-16
1214.8026144298033,1.9013767828196724e-16
1214.8559621552834,2.6767645440078904e-16
1214.909309534046,3.863167649390275e-16
1214.9626565660974,5.670978834728724e-16
1215.0160032514445,8.39885540676077e-16
1215.069349590094,1.245403617492034e-15
1215.122695582053,1.8361819875833256e-15
1215.1760412273277,2.6749811258945652e-15
1215.229386525925,3.828969973815981e-15
1215.2827314778522,5.35857921849329e-15
1215.3360760831154,7.30173862673455e-15
1215.3894203417215,9.656570123660001e-15
1215.4427642536778,1.2367003976178649e-14
1215.4961078189901,1.5315333732593974e-14
1215.549451037666,1.832429487376785e-14
1215.6027939097119,2.1170172558071273e-14
1215.6561364351344,2.3607350019406888e-14
1215.7094786139405,2.5402145124598314e-14
1215.762820446137,2.636996348540226e-14
1215.8161619317307,2.6407182689018826e-14
1215.8695030707281,2.5509778170436714e-14
1215.9228438631362,2.3774052459156684e-14
1215.9761843089614,2.1379289674757986e-14
1216.0295244082108,1.8556648310804043e-14
1216.0828641608912,1.5552099224507423e-14
1216.136203567009,1.2592071915601475e-14
1216.1895426265714,9.858063798799915e-15
1216.2428813395848,7.472638045213655e-15
1216.2962197060558,5.4965297191071154e-15
1216.3495577259919,3.935419907863366e-15
1216.4028953993989,2.753899582463726e-15
1216.456232726284,1.892707771869372e-15
1216.5095697066542,1.2847460891179568e-15
1216.5629063405163,8.666443324200261e-16
1216.6162426278763,5.849649645343325e-16
1216.6695785687418,3.9805455239549703e-16
1216.722914163119,2.752223546802411e-16
1216.776249411015,1.9476655656425996e-16
1216.8295843124365,1.4180503338922298e-16
1216.8829188673897,1.063920890758818e-16
1216.9362530758824,8.124219162741045e-17
1216.9895869379204,5.591901070548491e-17
