WAVELENGTH,FLUX
1213.704411623187,5.306314554078727e-15
1213.717306470711,6.479358006419685e-15
1213.7302010684505,7.119281204766745e-15
1213.74309541642,7.435521358055945e-15
1213.7559895146337,7.642888521598251e-15
1213.7688833631064,7.804861783864668e-15
1213.7817769618525,7.939228927261725e-15
1213.7946703108862,8.059836262296045e-15
1213.807563410223,8.175327845586812e-15
1213.8204562598764,8.288946870959957e-15
1213.8333488598612,8.404915943668493e-15
1213.846241210192,8.523299245698951e-15
1213.859133310883,8.644163144032013e-15
1213.872025161949,8.767576281711138e-15
1213.8849167634048,8.89360967362406e-15
1213.8978081152643,9.022336807318433e-15
1213.9106992175425,9.153833749192935e-15
1213.9235900702533,9.288179256421975e-15
1213.9364806734116,9.425454895035724e-15
1213.9493710270322,9.565745164576551e-15
1213.9622611311288,9.709137629818838e-15
1213.9751509857165,9.855723060087581e-15
1213.9880405908095,1.0005595576731976e-14
1214.000929946422,1.015885280939947e-14
1214.0138190525697,1.0315596061804443e-14
1214.0267079092657,1.0475930487733767e-14
1214.0395965165253,1.0639965278175168e-14
1214.0524848743623,1.080781386044838e-14
1214.0653729827923,1.097959411041276e-14
1214.0782608418285,1.1155428578849884e-14
1214.0911484514863,1.1335444733335965e-14
1214.1040358117793,1.1519775216958544e-14
1214.116922922723,1.1708558125495652e-14
1214.1298097843314,1.1901937304753537e-14
1214.1426963966185,1.2100062670059029e-14
1214.1555827595994,1.2303090550070563e-14
1214.1684688732887,1.251118405734276e-14
1214.1813547377003,1.2724513488405472e-14
1214.194240352849,1.2943256756446658e-14
1214.207125718749,1.3167599860048675e-14
1214.220010835415,1.339773739190882e-14
1214.232895702862,1.3633873091956272e-14
1214.245780321103,1.3876220449842246e-14
1214.2586646901534,1.412500336250019e-14
1214.271548810028,1.4380456853119322e-14
1214.2844326807406,1.4642827858843315e-14
1214.2973163023062,1.4912376095461116e-14
1214.310199674739,1.5189375008466435e-14
1214.323082798053,1.547411282123681e-14
1214.335965672263,1.5766893692541373e-14
1214.348848297384,1.606803899736363e-14
1214.3617306734297,1.6377888746993782e-14
1214.3746128004148,1.6696803166739392e-14
1214.3874946783537,1.702516445220636e-14
1214.4003763072608,1.7363378728244084e-14
1214.4132576871507,1.771187823825771e-14
1214.4261388180382,1.8071123795717872e-14
1214.4390196999366,1.8441607534555527e-14
1214.4519003328614,1.8823856000790024e-14
1214.4647807168265,1.921843363410891e-14
1214.4776608518466,1.962594669592344e-14
1214.4905407379363,2.004704770904637e-14
1214.5034203751095,2.0482440484577262e-14
1214.516299763381,2.0932885823497573e-14
1214.5291789027654,2.1399207994472843e-14
1214.5420577932769,2.188230210573771e-14
1214.5549364349292,2.2383142507973352e-14
1214.567814827738,2.290279238746885e-14
1214.580692971717,2.3442414734810204e-14
1214.593570866881,2.400328490507987e-14
1214.6064485132438,2.4586805021130002e-14
