WAVELENGTH,FLUX
1212.03350856195,5.805250429125091e-16
1212.08688876999,9.13583954503841e-16
1212.14026863125,1.043114083664984e-15
1212.19364814574,1.139171641971526e-15
1212.24702731346,1.225239116272725e-15
1212.30040613443,1.305045358601919e-15
1212.35378460865,1.3826848605105328e-15
1212.40716273613,1.461419185921396e-15
1212.46054051686,1.5433746899431052e-15
1212.51391795087,1.629728853466168e-15
1212.56729503815,1.721253432116615e-15
1212.62067177872,1.818481500913522e-15
1212.67404817258,1.9219779885943423e-15
1212.72742421973,2.0322980987560258e-15
1212.78079992019,2.150059846524389e-15
1212.83417527396,2.275952769354613e-15
1212.88755028104,2.410748078693652e-15
1212.94092494145,2.555310531726158e-15
1212.99429925519,2.710612365182208e-15
1213.04767322226,2.8777497122540717e-15
1213.10104684268,3.0579620239880237e-15
1213.15442011645,3.252655144769833e-15
1213.20779304358,3.463428856834798e-15
1213.26116562407,3.692109923904857e-15
1213.31453785794,3.940791947057433e-15
1213.36790974518,4.211883722649605e-15
1213.4212812858,4.508168300558005e-15
1213.47465247982,4.832875637889238e-15
1213.52802332724,5.189772715701181e-15
1213.58139382806,5.583276370540321e-15
1213.63476398229,6.018596108347408e-15
1213.68813378994,6.5019171784711626e-15
1213.74150325101,7.0406388063265116e-15
1213.79487236552,7.64368978994634e-15
1213.84824113347,8.321955584349961e-15
1213.90160955486,9.088871066025774e-15
1213.9549776297,9.961268032246022e-15
1214.008345358,1.0960628852022853e-14
1214.06171273977,1.2115012107258472e-14
1214.11507977501,1.3462129989543654e-14
1214.16844646373,1.5054460619830592e-14
1214.22181280593,1.6968034394995084e-14
1214.27517880163,1.9317914489401016e-14
1214.32854445082,2.2285802538114986e-14
1214.38190975353,2.616916558549258e-14
1214.43527470974,3.1467389547311185e-14
1214.48863931948,3.9029186270724107e-14
1214.54200358274,5.029599611337031e-14
1214.59536749953,6.768327715217861e-14
1214.64873106986,9.515640164030839e-14
1214.70209429374,1.3904731410885802e-13
1214.75545717118,2.0893534451063567e-13
1214.80881970217,3.180720547078785e-13
1214.86218188673,4.819832005554437e-13
1214.91554372487,7.134022208452214e-13
1214.96890521658,1.0126940971215285e-12
1215.02226636188,1.3524017466534623e-12
1215.07562716078,1.6483097373787988e-12
1215.12898761327,1.759919390489408e-12
1215.18234771938,1.6859050352865703e-12
1215.23570747909,1.6904656344945255e-12
1215.28906689243,1.7600979915186938e-12
1215.3424259594,1.6355981787980753e-12
1215.39578468,1.33380071411915e-12
1215.44914305424,9.948245640680008e-13
1215.50250108213,6.989035901055852e-13
1215.55585876367,4.713678312650133e-13
1215.60921609887,3.1085015798447387e-13
1215.66257308775,2.0425895312918418e-13
1215.71592973029,1.3610414923066931e-13
1215.76928602652,9.332583966158941e-14
1215.82264197644,6.65422477459628e-14
1215.87599758005,4.9574932361689266e-14
1215.92935283736,3.856251142873969e-14
1215.98270774838,3.115555053755558e-14
1216.03606231312,2.595338664647541e-14
1216.08941653158,2.213159904176858e-14
1216.14277040377,1.920491745051448e-14
1216.19612392969,1.6883972007532805e-14
1216.24947710935,1.4991699115747545e-14
1216.30282994277,1.3415723634094184e-14
1216.35618242994,1.2081612514254419e-14
1216.40953457087,1.0937871184572233e-14
1216.46288636557,9.947418592833635e-15
1216.51623781405,9.082618596320544e-15
1216.56958891631,8.322282935478701e-15
1216.62293967236,7.649791794229593e-15
1216.6762900822,7.05186762617157e-15
1216.72964014585,6.517744611581071e-15
1216.78298986331,6.038586752792135e-15
1216.83633923458,5.6070679955532015e-15
1216.88968825968,5.217061570846673e-15
1216.9430369386,4.863405245323049e-15
1216.99638527137,4.541594295035872e-15
1217.04973325797,4.247735569499239e-15
1217.10308089843,3.977921176000959e-15
1217.15642819274,3.727830736289501e-15
1217.20977514092,3.4916216604328616e-15
1217.26312174297,3.2615378655594796e-15
1217.31646799889,3.028480970680881e-15
1217.3698139087,2.7843227169184487e-15
1217.42315947239,2.4827389951257562e-15
1217.47650468999,1.793047068680706e-15
