WAVELENGTH,FLUX
1214.0325504311818,1.0270014782580624e-15
1214.0859007224817,1.3108157834514848e-15
1214.139250666991,1.519539704749685e-15
1214.1926002647165,1.689337137675992e-15
1214.245949515665,1.8598494512306022e-15
1214.2992984198431,2.045872967676277e-15
1214.3526469772576,2.2556360143283863e-15
1214.4059951879158,2.4984728380329545e-15
1214.4593430518235,2.785174861742115e-15
1214.5126905689879,3.12874281590254e-15
1214.5660377394163,3.5466274239471206e-15
1214.6193845631146,4.061263482837184e-15
1214.6727310400902,4.702637097982657e-15
1214.7260771703495,5.510473170173092e-15
1214.7794229538995,6.536588407353439e-15
1214.8327683907467,7.846986331235508e-15
1214.8861134808978,9.522900953898322e-15
1214.93945822436,1.165953067786172e-14
1214.9928026211398,1.436077806986161e-14
1215.0461466712438,1.7728213451036306e-14
1215.0994903746791,2.1843118054284676e-14
1215.1528337314523,2.6742152110391506e-14
1215.20617674157,3.238980393107047e-14
1215.2595194050393,3.865349956936479e-14
1215.3128617218663,4.528886488543038e-14
1215.3662036920587,5.194219812696142e-14
1215.4195453156226,5.817457583002667e-14
1215.4728865925651,6.350761864902641e-14
1215.5262275228927,6.748549844057661e-14
1215.579568106612,6.974244840474448e-14
1215.6329083437302,7.00616831214072e-14
1215.6862482342538,6.84120416575829e-14
1215.7395877781896,6.495334792815881e-14
1215.7929269755443,6.00091449771166e-14
1215.846265826325,5.4013573117607185e-14
1215.899604330538,4.744501644304659e-14
1215.9529424881903,4.076094913745051e-14
1216.0062802992886,3.4346105676976354e-14
1216.0596177638397,2.8481187002507703e-14
1216.11295488185,2.33337490904772e-14
1216.166291653327,1.8968098785978608e-14
1216.2196280782764,1.5367760059301578e-14
1216.2729641567062,1.2462914237916748e-14
1216.326299888622,1.0156241267514218e-14
1216.3796352740314,8.343089614237686e-15
1216.4329703129408,6.924666808355439e-15
1216.4863050053568,5.814972403742275e-15
1216.5396393512865,4.943149709023819e-15
1216.5929733507367,4.252024619203036e-15
1216.6463070037137,3.697542480554356e-15
1216.6996403102244,3.2448801676923167e-15
1216.7529732702756,2.866304344561121e-15
1216.806305883874,2.539578128210548e-15
1216.859638151027,2.2363747376301305e-15
1216.9129700717401,1.8963314398075565e-15
1216.9663016460213,1.4660583119965615e-15
