WAVELENGTH FLUX
100.5 nan
101.5 nan
102.5 nan
103.5 nan
104.5 nan
105.5 nan
106.5 nan
107.5 nan
108.5 nan
109.5 nan
110.5 nan
111.5 nan
112.5 nan
113.5 nan
114.5 nan
115.5 nan
116.5 nan
117.5 nan
118.5 nan
119.5 nan
120.5 nan
121.5 nan
122.5 nan
123.5 nan
124.5 nan
125.5 nan
126.5 nan
127.5 nan
128.5 nan
129.5 nan
130.5 nan
131.5 nan
132.5 nan
133.5 nan
134.5 nan
135.5 nan
136.5 nan
137.5 nan
138.5 nan
139.5 nan
140.5 nan
141.5 nan
142.5 nan
143.5 nan
144.5 nan
145.5 nan
146.5 nan
147.5 nan
148.5 nan
149.5 nan
150.5 1.9287023883111288e-14
151.5 1.9287023883111288e-14
152.5 1.9287023883111288e-14
153.5 1.9287023883111288e-14
154.5 1.9287023883111288e-14
155.5 1.9287023883111288e-14
156.5 1.9287023883111288e-14
157.5 1.9287023883111288e-14
158.5 1.9287023883111288e-14
159.5 1.9287023883111288e-14
160.5 1.9287023883111288e-14
161.5 1.9287023883111288e-14
162.5 1.9287023883111288e-14
163.5 1.9287023883111288e-14
164.5 1.9287023883111288e-14
165.5 1.9287023883111288e-14
166.5 1.9287023883111288e-14
167.5 1.9287023883111288e-14
168.5 1.9287023883111288e-14
169.5 1.9287023883111288e-14
170.5 1.9287023883111288e-14
171.5 1.9287023883111288e-14
172.5 1.9287023883111288e-14
173.5 1.9287023883111288e-14
174.5 1.9287023883111288e-14
175.5 1.9287023883111288e-14
176.5 1.9287023883111288e-14
177.5 1.9287023883111288e-14
178.5 1.9287023883111288e-14
179.5 1.9287023883111288e-14
180.5 1.9287023883111288e-14
181.5 1.9287023883111288e-14
182.5 1.9287023883111288e-14
183.5 1.9287023883111288e-14
184.5 1.9287023883111288e-14
185.5 1.9287023883111288e-14
186.5 1.9287023883111288e-14
187.5 1.9287023883111288e-14
188.5 1.9287023883111288e-14
189.5 1.9287023883111288e-14
190.5 1.9287023883111288e-14
191.5 1.9287023883111288e-14
192.5 1.9287023883111288e-14
193.5 1.9287023883111288e-14
194.5 1.9287023883111288e-14
195.5 1.9287023883111288e-14
196.5 1.9287023883111288e-14
197.5 1.9287023883111288e-14
198.5 1.9287023883111288e-14
199.5 1.9287023883111288e-14
200.5 1.691473578290549e-14
201.5 1.691473578290549e-14
202.5 1.691473578290549e-14
203.5 1.691473578290549e-14
204.5 1.691473578290549e-14
205.5 1.691473578290549e-14
206.5 1.691473578290549e-14
207.5 1.691473578290549e-14
208.5 1.691473578290549e-14
209.5 1.691473578290549e-14
210.5 1.691473578290549e-14
211.5 1.691473578290549e-14
212.5 1.691473578290549e-14
213.5 1.691473578290549e-14
214.5 1.691473578290549e-14
215.5 1.691473578290549e-14
216.5 1.691473578290549e-14
217.5 1.691473578290549e-14
218.5 1.691473578290549e-14
219.5 1.691473578290549e-14
220.5 1.691473578290549e-14
221.5 1.691473578290549e-14
222.5 1.691473578290549e-14
223.5 1.691473578290549e-14
224.5 1.691473578290549e-14
