WAVELENGTH FLUX
1.213028415844885785e+03 5.375713702898084913e-15
1.213081788078634418e+03 5.604699827829112149e-15
1.213135159965651383e+03 5.848601641183682750e-15
1.213188531505943502e+03 6.108737887485273472e-15
1.213241902699516913e+03 6.386575945845866041e-15
1.213295273546379121e+03 6.683752483657877944e-15
1.213348644046536492e+03 7.002097603232865945e-15
1.213402014199995847e+03 7.343663202362995089e-15
1.213455384006764234e+03 7.710756453054891206e-15
1.213508753466847793e+03 8.105979543558017596e-15
1.213562122580253799e+03 8.532277149098814368e-15
1.213615491346988620e+03 8.992993527934603170e-15
1.213668859767059530e+03 9.491941728108877809e-15
1.213722227840472897e+03 1.003348820489870394e-14
1.213775595567235541e+03 1.062265729307177174e-14
1.213828962947354285e+03 1.126526160810948229e-14
1.213882329980835493e+03 1.196806680835876800e-14
1.213935696667686443e+03 1.273900261150152026e-14
1.213989063007913956e+03 1.358743711628186139e-14
1.214042429001524397e+03 1.452453927876624134e-14
1.214095794648524588e+03 1.556376635251231761e-14
1.214149159948921351e+03 1.672153170036653541e-14
1.214202524902721507e+03 1.801813769190060670e-14
1.214255889509931876e+03 1.947910516089834177e-14
1.214309253770559053e+03 2.113710637903894248e-14
1.214362617684609631e+03 2.303483162891451175e-14
1.214415981252090660e+03 2.522932211600350358e-14
1.214469344473008732e+03 2.779863783773496382e-14
1.214522707347370442e+03 3.085228799645109210e-14
1.214576069875182839e+03 3.454778180225968610e-14
1.214629432056452970e+03 3.911719635618585885e-14
1.214682793891186975e+03 4.491016479693522803e-14
1.214736155379391676e+03 5.246364599725311491e-14
1.214789516521074347e+03 6.261472991462350719e-14
1.214842877316241129e+03 7.668052898427278365e-14
1.214896237764899070e+03 9.673689561592466900e-14
1.214949597867054763e+03 1.260279669429771078e-13
1.215002957622715030e+03 1.695130165632045437e-13
1.215056317031886920e+03 2.344716322848800322e-13
1.215109676094576571e+03 3.309042474692595086e-13
1.215163034810791032e+03 4.711977869325935673e-13
1.215216393180537580e+03 6.683545688938525716e-13
1.215269751203822125e+03 9.323676527529066074e-13
1.215323108880651944e+03 1.265260426477600287e-12
1.215376466211033403e+03 1.656381599299673240e-12
1.215429823194973551e+03 2.079859199905526046e-12
1.215483179832478982e+03 2.495589260340669497e-12
1.215536536123556743e+03 2.854433484878803558e-12
1.215589892068212976e+03 3.107348851665656022e-12
1.215643247666454954e+03 3.216488388691632470e-12
1.215696602918289500e+03 3.164749208991571361e-12
1.215749957823722980e+03 2.960299446495378626e-12
1.215803312382762215e+03 2.634400946018521931e-12
1.215856666595414026e+03 2.233337444175504648e-12
1.215910020461685008e+03 1.807426875137459320e-12
1.215963373981582208e+03 1.400853964731203076e-12
1.216016727155112676e+03 1.044950577735704424e-12
1.216070079982282095e+03 7.557301549974510887e-13
1.216123432463097743e+03 5.352786873453443540e-13
1.216176784597566893e+03 3.758825793290607742e-13
1.216230136385695687e+03 2.651181083934579677e-13
1.216283487827490944e+03 1.900797614304000060e-13
1.216336838922959487e+03 1.398083100336690387e-13
1.216390189672108136e+03 1.060642534807523610e-13
1.216443540074943485e+03 8.311771905154365779e-14
1.216496890131472355e+03 6.717415618940951910e-14
1.216550239841701568e+03 5.579029685116426083e-14
1.216603589205637718e+03 4.741312518523369990e-14
1.216656938223287398e+03 4.105713544103537880e-14
1.216710286894658111e+03 3.609271422824574960e-14
1.216763635219755542e+03 3.211232057373874496e-14
1.216816983198587423e+03 2.884741281506523346e-14
1.216870330831159663e+03 2.611723693733772275e-14
1.216923678117479540e+03 2.379722980875965387e-14
1.216977025057553192e+03 2.179940022912572907e-14
1.217030371651388123e+03 2.006002023309343252e-14
1.217083717898990926e+03 1.853179877501604516e-14
1.217137063800367741e+03 1.717882688856088470e-14
1.217190409355526299e+03 1.597325552558805198e-14
1.217243754564472056e+03 1.489307094291904041e-14
1.217297099427212743e+03 1.392057562235784636e-14
1.217350443943755181e+03 1.304133001827757984e-14
1.217403788114105510e+03 1.224340042704578221e-14
1.217457131938270550e+03 1.151681381151609006e-14
1.217510475416257577e+03 1.085315507331868648e-14
1.217563818548072504e+03 1.024526416091375927e-14
1.217617161333722606e+03 9.687004413921803674e-15
1.217670503773214705e+03 9.173082635100537041e-15
1.217723845866555166e+03 8.698907362519578801e-15
1.217777187613751266e+03 8.260475807633886301e-15
1.217830529014809144e+03 7.854282630254890248e-15
1.217883870069735849e+03 7.477245581713311788e-15
1.217937210778538201e+03 7.126644346185873478e-15
