; COS G130M     1222 2019-03-04 Prop=   15071
       1066.0000           0.00000000           0.00000000
       1066.0100           0.00000000           0.00000000
       1066.0199           0.00000000           0.00000000
       1066.0299           0.00000000           0.00000000
       1066.0399           0.00000000           0.00000000
       1066.0499           0.00000000           0.00000000
       1066.0598           0.00000000           0.00000000
       1066.0698           0.00000000           0.00000000
       1066.0798           0.00000000           0.00000000
       1066.0897           0.00000000           0.00000000
       1066.0997           0.00000000           0.00000000
       1066.1097           0.00000000           0.00000000
       1066.1196           0.00000000           0.00000000
       1066.1296           0.00000000           0.00000000
       1066.1396           0.00000000           0.00000000
       1066.1496           0.00000000           0.00000000
       1066.1595           0.00000000           0.00000000
       1066.1695           0.00000000           0.00000000
       1066.1795           0.00000000           0.00000000
       1066.1894           0.00000000           0.00000000
       1066.1994           0.00000000           0.00000000
       1066.2094           0.00000000           0.00000000
       1066.2193           0.00000000           0.00000000
       1066.2293           0.00000000           0.00000000
       1066.2393           0.00000000           0.00000000
       1066.2493           0.00000000           0.00000000
       1066.2592           0.00000000           0.00000000
       1066.2692           0.00000000           0.00000000
       1066.2792           0.00000000           0.00000000
       1066.2891           0.00000000           0.00000000
       1066.2991           0.00000000           0.00000000
       1066.3091           0.00000000           0.00000000
       1066.3190           0.00000000           0.00000000
       1066.3290           0.00000000           0.00000000
       1066.3390           0.00000000           0.00000000
       1066.3490           0.00000000           0.00000000
       1066.3589           0.00000000           0.00000000
       1066.3689           0.00000000           0.00000000
       1066.3789           0.00000000           0.00000000
       1066.3888           0.00000000           0.00000000
       1066.3988           0.00000000           0.00000000
       1066.4088      -1.4881841e-015       4.4401928e-014
       1066.4187      -1.5870191e-015       4.4407481e-014
       1066.4287      -1.5870512e-015       4.4413038e-014
       1066.4387      -1.5870992e-015       4.4418594e-014
       1066.4487      -1.5871637e-015       4.4424154e-014
       1066.4586      -1.5872447e-015       4.4429707e-014
       1066.4686       2.4486079e-014       5.5828328e-014
       1066.4786      -1.5874563e-015       4.4440824e-014
       1066.4885      -1.8838707e-015       4.4446390e-014
       1066.4985      -1.8840463e-015       4.4451954e-014
       1066.5085      -1.9829461e-015       4.4457517e-014
       1066.5184      -1.9831515e-015       4.4463084e-014
       1066.5284      -1.9833780e-015       4.4468650e-014
       1066.5384      -1.9836266e-015       4.4474217e-014
       1066.5484      -2.0825836e-015       4.4479787e-014
       1066.5583      -2.0828443e-015       4.4485361e-014
       1066.5683      -2.0831054e-015       4.4490937e-014
       1066.5783      -2.0833665e-015       4.4496514e-014
       1066.5882      -2.1823111e-015       4.4502084e-014
       1066.5982      -2.1825847e-015       4.4507661e-014
       1066.6082      -2.1828583e-015       4.4513238e-014
       1066.6181      -2.1831319e-015       4.4518822e-014
       1066.6281       4.9873168e-014       6.4736729e-014
       1066.6381      -2.2823377e-015       4.4529989e-014
       1066.6481      -2.3812758e-015       4.4535569e-014
       1066.6580      -2.3815744e-015       4.4541156e-014
       1066.6680      -2.3312263e-015       4.4546743e-014
       1066.6780      -2.5225319e-015       4.4552330e-014
       1066.6879       2.3584707e-014       5.5248510e-014
       1066.6979      -2.5190563e-015       4.4563508e-014
       1066.7079      -2.6135424e-015       4.4569105e-014
       1066.7178      -2.2774177e-015       4.4574702e-014
       1066.7278      -2.3586450e-015       4.4580296e-014
       1066.7378      -2.3570159e-015       4.4585890e-014
       1066.7478      -2.4389164e-015       4.4591490e-014
       1066.7577      -2.4372124e-015       4.4597088e-014
       1066.7677      -2.5189055e-015       4.4602688e-014
       1066.7777      -2.6026061e-015       4.4608292e-014
