; COS G130M     1222 2019-03-04 Prop=   15071
       1066.0000           0.00000000           0.00000000
       1066.0100           0.00000000           0.00000000
       1066.0199           0.00000000           0.00000000
       1066.0299           0.00000000           0.00000000
       1066.0399           0.00000000           0.00000000
       1066.0499           0.00000000           0.00000000
       1066.0598           0.00000000           0.00000000
       1066.0698           0.00000000           0.00000000
       1066.0798           0.00000000           0.00000000
       1066.0897           0.00000000           0.00000000
       1066.0997           0.00000000           0.00000000
       1066.1097           0.00000000           0.00000000
       1066.1196           0.00000000           0.00000000
       1066.1296           0.00000000           0.00000000
       1066.1396           0.00000000           0.00000000
       1066.1496           0.00000000           0.00000000
       1066.1595           0.00000000           0.00000000
       1066.1695           0.00000000           0.00000000
       1066.1795           0.00000000           0.00000000
       1066.1894           0.00000000           0.00000000
       1066.1994           0.00000000           0.00000000
       1066.2094           0.00000000           0.00000000
       1066.2193           0.00000000           0.00000000
       1066.2293           0.00000000           0.00000000
       1066.2393           0.00000000           0.00000000
       1066.2493           0.00000000           0.00000000
       1066.2592           0.00000000           0.00000000
       1066.2692           0.00000000           0.00000000
       1066.2792           0.00000000           0.00000000
       1066.2891           0.00000000           0.00000000
       1066.2991           0.00000000           0.00000000
       1066.3091           0.00000000           0.00000000
       1066.3190           0.00000000           0.00000000
       1066.3290           0.00000000           0.00000000
       1066.3390           0.00000000           0.00000000
       1066.3490           0.00000000           0.00000000
       1066.3589           0.00000000           0.00000000
       1066.3689           0.00000000           0.00000000
       1066.3789           0.00000000           0.00000000
       1066.3888           0.00000000           0.00000000
       1066.3988           0.00000000           0.00000000
       1066.4088           0.00000000           0.00000000
       1066.4187      -2.4821705e-015       4.4408945e-014
       1066.4287      -2.4824544e-015       2.3367521e-019
       1066.4387       1.0502840e-014       1.2985136e-014
       1066.4487       1.0447180e-014       1.3127598e-014
       1066.4586      -2.5815245e-015       9.9001634e-017
       1066.4686       1.0392183e-014       1.3072846e-014
       1066.4786      -2.6806344e-015       9.8966271e-017
       1066.4885      -2.6808413e-015       9.8960130e-017
       1066.4985      -2.6810760e-015       9.8954730e-017
       1066.5085       1.0106094e-014       1.2985124e-014
       1066.5184      -2.9778769e-015       1.6983011e-019
       1066.5284      -2.9782016e-015       1.5384236e-019
       1066.5384      -3.0773019e-015       1.6675961e-019
       1066.5484       9.8997131e-015       1.2977234e-014
       1066.5583      -3.2262103e-015       4.9245543e-017
       1066.5683       9.7891199e-015       1.3064986e-014
       1066.5783      -3.2270188e-015       4.9257613e-017
       1066.5882      -3.2274231e-015       4.9263966e-017
       1066.5982      -3.2278275e-015       4.9270107e-017
       1066.6082      -3.2282319e-015       4.9276353e-017
       1066.6181      -3.3766496e-015       9.8730160e-017
       1066.6281      -3.4264318e-015       4.9383609e-017
       1066.6381      -3.4761912e-015       6.0139339e-020
       1066.6481      -3.4766269e-015       6.0033460e-020
       1066.6580      -3.4770629e-015       6.0245218e-020
       1066.6680       9.5787714e-015       1.3155030e-014
       1066.6780      -3.4991991e-015       9.8035487e-017
       1066.6879      -3.4967950e-015       9.7973866e-017
       1066.6979      -3.4943852e-015       9.7907797e-017
       1066.7079      -3.5882085e-015       9.7917115e-017
       1066.7178       9.6699770e-015       1.2711386e-014
       1066.7278      -3.1239536e-015       8.5884059e-017
       1066.7378      -3.1629638e-015       4.3349452e-017
       1066.7478       9.8627923e-015       1.3066891e-014
       1066.7577      -3.1585709e-015       4.3301701e-017
       1066.7677      -3.1563583e-015       4.3277984e-017
       1066.7777      -3.1971466e-015       8.3675420e-017
       1066.7876      -2.9565416e-015       4.9149214e-016
