READ SERR 1
@GJ699all_model.pco
!
40.6614838 0.666581035 9.31586214E-7
39.3699837 0.624919772 7.47561501E-7
38.1580162 0.587047577 7.66645087E-7
37.0184555 0.552513719 8.72314274E-7
35.9449997 0.520941496 7.91678417E-7
34.9320564 0.492001772 7.66221035E-7
33.9746475 0.465405673 1.43845568E-6
33.0683327 0.440910667 8.55720941E-7
32.2091217 0.418299884 1.10823146E-6
31.3934345 0.397386074 8.2695999E-7
30.6180477 0.37800023 9.72881026E-7
29.8800488 0.360000253 8.29447629E-7
29.1767902 0.34325707 8.20943285E-7
28.5058804 0.327653468 9.63224807E-7
27.8651352 0.313091129 8.04073125E-7
27.2525654 0.299479336 9.47435979E-7
26.6663513 0.28673467 7.89176511E-7
26.1048298 0.274787426 8.24475308E-7
25.5664692 0.263572395 8.89719956E-7
25.0498676 0.253028721 9.89966111E-7
24.5537338 0.243106037 2.00735826E-6
24.0768719 0.233755812 8.79263439E-7
23.6181812 0.224934846 9.33903891E-7
23.1766415 0.216605201 8.32918033E-7
22.7513084 0.20872739 8.41532312E-7
22.3413086 0.201272845 8.36422714E-7
21.9458237 0.194210649 1.26681152E-6
21.5641003 0.187513739 1.56177191E-6
21.1954288 0.181157351 9.90710419E-7
20.8391514 0.175119802 1.14638749E-6
20.4946556 0.169377148 8.24718654E-7
20.1613636 0.163913369 8.33644378E-7
19.8387413 0.158709779 1.03061882E-6
19.5262814 0.153750107 8.72147723E-7
19.2235126 0.149019331 8.81437813E-7
18.9299889 0.144504443 1.29206601E-5
18.6452942 0.140190035 1.43363786E-6
18.3690376 0.136066809 8.15218925E-7
18.1008472 0.132122844 9.42076724E-7
17.8403759 0.128347903 1.04787773E-6
17.5872955 0.124732479 2.09159793E-6
17.3412952 0.121268407 1.17554055E-6
17.1020813 0.117945276 1.67291819E-5
16.869379 0.114757568 7.40272299E-6
16.6429234 0.111697368 1.50929338E-6
16.4224682 0.108757965 1.44620856E-6
16.207777 0.105933085 2.03088143E-6
15.9986277 0.103216857 7.55316069E-6
15.7948065 0.100604363 2.52371774E-6
15.5961132 9.80886668E-2 2.3219975E-6
15.4023581 9.56667289E-2 2.50808216E-6
15.2133579 9.33333933E-2 6.08790469E-6
15.0289402 9.10843983E-2 1.50602136E-5
14.8489399 8.89157206E-2 1.65426536E-6
14.6731997 8.68241042E-2 1.98158182E-6
14.5015717 8.48044306E-2 3.52821576E-6
14.3339119 8.28549042E-2 3.82808093E-6
14.170085 8.0971837E-2 6.02033333E-6
14.0099611 7.91522488E-2 1.97390682E-6
13.8534155 7.73933083E-2 3.16318688E-6
13.7003298 7.56928101E-2 4.28056319E-6
13.5505896 7.40468651E-2 3.23097811E-6
13.404088 7.245446E-2 7.35808771E-6
13.2607212 7.09128827E-2 1.11741883E-6
13.120388 6.941998E-2 1.01418334E-6
12.982995 6.79737329E-2 1.05821334E-6
12.8484478 6.65726066E-2 1.19231663E-6
12.7166624 6.52135909E-2 1.04934838E-6
12.5875521 6.38961419E-2 1.00605985E-6
12.4610376 6.26182184E-2 1.35424625E-6
12.3370419 6.13782592E-2 1.14531667E-6
12.2154884 6.01747632E-2 2.99229532E-6
12.0963078 5.90063222E-2 1.94928343E-5
11.9794292 5.78715876E-2 6.2400045E-7
11.864789 5.67692704E-2 6.94302116E-7
11.7523212 5.56981526E-2 6.42295106E-7
11.6419649 5.46577126E-2 6.3347602E-7
11.5336628 5.36448881E-2 2.43634872E-6
11.4273577 5.26605807E-2 1.26969303E-6
11.3229933 5.17031178E-2 1.32187756E-6
11.2205191 5.07715307E-2 1.80724044E-6
11.1198826 4.98648956E-2 1.41948522E-6
11.0210352 4.89823334E-2 1.53575343E-6
10.9239302 4.81229946E-2 5.30337729E-7
10.8285208 4.72860746E-2 7.42390284E-7
10.7347641 4.64707948E-2 1.26799296E-6
10.6426172 4.56764251E-2 1.22110907E-6
10.5520382 4.49022502E-2 1.16413344E-6
10.4629879 4.41481099E-2 1.09210112E-6
10.3754282 4.34117876E-2 8.09033565E-7
10.2893219 4.26942408E-2 4.93308903E-7
10.2046328 4.19943333E-2 3.36889502E-6
10.1213274 4.13114987E-2 6.6597255E-7
10.0393705 4.06451859E-2 9.1460231E-7
9.9587307 3.99948657E-2 5.54114706E-7
9.87937546 3.9360024E-2 5.35575509E-7
9.80127525 3.87401842E-2 4.58813105E-7
9.72440052 3.81348692E-2 1.54015595E-6
9.64872169 3.75436321E-2 4.60697493E-7
9.57421207 3.6966037E-2 4.39332581E-7
9.50084496 3.64016704E-2 8.93882827E-7
9.42859268 3.58505547E-2 4.81456027E-7
9.35743046 3.53110246E-2 6.79149593E-7
9.2873354 3.47839966E-2 2.07199287E-6
9.2182827 3.42686772E-2 1.23100085E-6
9.15024948 3.37647274E-2 3.02662693E-6
9.08321285 3.32718119E-2 4.4947771E-7
9.01715183 3.27896103E-2 4.42896635E-7
8.95204449 3.23178172E-2 4.61762056E-7
8.88787079 3.18561345E-2 4.34113389E-7
8.82460976 3.14042754E-2 4.50423698E-7
8.76224327 3.09619624E-2 4.45510182E-7
8.70075321 3.05289291E-2 4.29792294E-7
8.6401186 3.01052723E-2 4.31536535E-7
8.58032322 2.96896715E-2 4.53917551E-7
8.52135086 2.92829648E-2 4.4543296E-7
8.4631834 2.8884558E-2 5.22757773E-7
8.40580463 2.84942258E-2 1.73183662E-6
8.34919834 2.8111754E-2 3.87961791E-7
8.29335022 2.77369302E-2 3.85626151E-7
8.23824406 2.73695532E-2 3.77988698E-7
8.18386459 2.70094294E-2 3.73409705E-7
8.13019848 2.6656365E-2 3.70273426E-7
8.07723236 2.63101775E-2 4.01021623E-7
8.02495098 2.59706918E-2 3.85793527E-7
7.9733429 2.56377347E-2 3.55393496E-7
