READ SERR 1
@GJ699quiet_model.pco
!
40.6614838 0.666581035 7.11450355E-7
39.3699837 0.624919772 4.4141774E-7
38.1580162 0.587047577 4.64445236E-7
37.0184555 0.552513719 5.73422653E-7
35.9449997 0.520941496 4.67553406E-7
34.9320564 0.492001772 4.42230032E-7
33.9746475 0.465405673 1.27636838E-6
33.0683327 0.440910667 5.76392495E-7
32.2091217 0.418299884 9.06869104E-7
31.3934345 0.397386074 5.1495681E-7
30.6180477 0.37800023 7.08644052E-7
29.8800488 0.360000253 5.08336029E-7
29.1767902 0.34325707 5.2874509E-7
28.5058804 0.327653468 6.86184819E-7
27.8651352 0.313091129 5.1408756E-7
27.2525654 0.299479336 7.17478883E-7
26.6663513 0.28673467 4.76544216E-7
26.1048298 0.274787426 5.42999885E-7
25.5664692 0.263572395 5.87049726E-7
25.0498676 0.253028721 6.5221667E-7
24.5537338 0.243106037 1.43347393E-6
24.0768719 0.233755812 6.17782234E-7
23.6181812 0.224934846 6.11089888E-7
23.1766415 0.216605201 5.31688272E-7
22.7513084 0.20872739 5.63175718E-7
22.3413086 0.201272845 4.99226189E-7
21.9458237 0.194210649 1.33868014E-6
21.5641003 0.187513739 1.88873935E-6
21.1954288 0.181157351 6.01566342E-7
20.8391514 0.175119802 7.30910529E-7
20.4946556 0.169377148 4.90813648E-7
20.1613636 0.163913369 4.55003573E-7
19.8387413 0.158709779 5.63649564E-7
19.5262814 0.153750107 5.06629192E-7
19.2235126 0.149019331 4.97667259E-7
18.9299889 0.144504443 1.71754764E-5
18.6452942 0.140190035 1.01010062E-6
18.3690376 0.136066809 4.28849063E-7
18.1008472 0.132122844 4.72768818E-7
17.8403759 0.128347903 6.21341144E-7
17.5872955 0.124732479 1.26937505E-6
17.3412952 0.121268407 6.85398447E-7
17.1020813 0.117945276 1.49167581E-5
16.869379 0.114757568 6.36162395E-6
16.6429234 0.111697368 1.02246383E-6
16.4224682 0.108757965 8.04328522E-7
16.207777 0.105933085 1.17963486E-6
