WAVELENGTH FLUX
40.6614838 4.55924475107325e-16
39.3699837 3.7786334846514053e-16
38.1580162 3.9981735820165617e-16
37.0184555 4.689297221652048e-16
35.9449997 4.3829185226839777e-16
34.9320564 4.364987397793163e-16
33.9746475 8.425479037567643e-16
33.0683327 5.149593383007181e-16
32.2091217 6.847068435895911e-16
31.3934345 5.242020843880588e-16
30.6180477 6.323176646367299e-16
29.8800488 5.52408997976603e-16
29.1767902 5.599235302963519e-16
28.5058804 6.724287547105544e-16
27.8651352 5.742321030439499e-16
27.2525654 6.918238964064644e-16
26.6663513 5.889299361664076e-16
26.1048298 6.2850663095302e-16
25.5664692 6.925253145397175e-16
25.0498676 7.864443007634899e-16
24.5537338 1.6268983650054885e-15
24.0768719 7.267282273533217e-16
23.6181812 7.868805507724702e-16
23.1766415 7.151626717227343e-16
22.7513084 7.360672500400021e-16
22.3413086 7.450240407403887e-16
21.9458237 1.1487173866251372e-15
21.5641003 1.4412500673167432e-15
21.1954288 9.30159871929555e-16
20.8391514 1.0947236100506473e-15
20.4946556 8.007893147811666e-16
20.1613636 8.228373562093786e-16
19.8387413 1.0338011977604648e-15
19.5262814 8.888399860764069e-16
19.2235126 9.124561594794076e-16
18.9299889 1.3582740980371097e-14
18.6452942 1.530112268971331e-15
18.3690376 8.8316312268313945e-16
18.1008472 1.035715433673182e-15
17.8403759 1.16885243583909e-15
17.5872955 2.366640101486894e-15
17.3412952 1.348991333992169e-15
17.1020813 1.946609386133605e-14
16.869379 8.732638439209886e-15
16.6429234 1.8046672174192663e-15
16.4224682 1.7524497531984868e-15
16.207777 2.4935276723637055e-15
15.9986277 9.39504940983157e-15
15.7948065 3.1796516801899407e-15
15.5961132 2.96277345883845e-15
15.4023581 3.2404671193821934e-15
15.2133579 7.963350637468406e-15
15.0289402 1.994140948408325e-14
14.8489399 2.2169852451217747e-15
14.6731997 2.687449160662619e-15
14.5015717 4.841647172906092e-15
14.3339119 5.314586209156203e-15
14.170085 8.454757559111326e-15
14.0099611 2.8037726470204117e-15
13.8534155 4.5438194582411816e-15
13.7003298 6.217602694571629e-15
13.5505896 4.744920057869659e-15
13.404088 1.0923976732247654e-14
13.2607212 1.6768797399194244e-15
13.120388 1.538235642573985e-15
12.982995 1.6220021240091364e-15
12.8484478 1.846690067651596e-15
12.7166624 1.642100112840929e-15
12.5875521 1.5905071022506434e-15
12.4610376 2.1627011521897663e-15
12.3370419 1.84742841255974e-15
12.2154884 4.874686538771549e-15
12.0963078 3.2068248343515195e-14
11.9794292 1.0365776822655288e-15
11.864789 1.1645055051885035e-15
11.7523212 1.0875870725350833e-15
11.6419649 1.0828217492736127e-15
11.5336628 4.203637679436926e-15
11.4273577 2.211087808776652e-15
11.3229933 2.323181048248081e-15
11.2205191 3.2052068567843707e-15
11.1198826 2.5402926356434735e-15
11.0210352 2.7730147579058634e-15
10.9239302 9.6611023815403e-16
10.8285208 1.3643199218493442e-15
10.7347641 2.350592865287091e-15
10.6426172 2.283279576474854e-15
10.5520382 2.195429453240607e-15
10.4629879 2.077113392055055e-15
10.3754282 1.551720818953766e-15
10.2893219 9.54081062397319e-16
10.2046328 6.569664211533413e-15
10.1213274 1.3093987795513856e-15
10.0393705 1.8129210361346858e-15
9.9587307 1.107257840539859e-15
9.87937546 1.0788083388724655e-15
9.80127525 9.315502887749224e-16
9.72440052 3.15177304163527e-15
9.64872169 9.501652555904532e-16
9.57421207 9.131527793597328e-16
9.50084496 1.8722827635006476e-15
9.42859268 1.0161617181345881e-15
9.35743046 1.4443149707040409e-15
9.2873354 4.439665020927316e-15
9.2182827 2.6574273877497813e-15
9.15024948 6.582320628377009e-15
9.08321285 9.847403750975624e-16
9.01715183 9.774309230523405e-16
8.95204449 1.026476680792278e-15
8.88787079 9.719826767531126e-16
8.82460976 1.01573121463447e-15
8.76224327 1.0118016983338103e-15
8.70075321 9.830030164250574e-16
8.6401186 9.939188851528033e-16
8.58032322 1.0527527965199426e-15
8.52135086 1.0402242613444038e-15
8.4631834 1.2291922780144408e-15
8.40580463 4.099970229500801e-15
8.34919834 9.24692326916263e-16
8.29335022 9.253148849778105e-16
8.23824406 9.13055626346666e-16
8.18386459 9.079882795934677e-16
8.13019848 9.063052022070681e-16
8.07723236 9.880030611995418e-16
8.02495098 9.566776428209408e-16
7.9733429 8.86996916989485e-16
7.9223938 8.839075602124196e-16
7.87209177 2.4999631593598665e-15
7.82242441 1.1323516856457549e-15
7.77338028 1.99366518665931e-15
7.72494698 9.09522795210175e-16
7.67711353 8.799490763555244e-16
7.62986898 8.617206250244156e-16
