wave flux error model intrinsic_lya
1.212033508561953340e+03 5.056951211770950964e-15 1.642290928217776590e-15 1.146482384467474525e-15 1.148055077407440052e-15
1.212086888769992129e+03 9.575235474052230748e-16 7.108297202483895274e-16 1.478323687157237428e-15 1.480393231783609568e-15
1.212140268631253093e+03 1.272267131084687479e-15 8.344646585473361157e-16 1.606890080713028250e-15 1.609202608411886053e-15
1.212193648145743282e+03 1.389322308681228724e-15 4.551307827776089475e-16 1.702017071183654165e-15 1.704539418867772388e-15
1.212247027313469516e+03 1.782047271448302409e-15 4.346796777871076559e-16 1.787155965371531370e-15 1.789886150000447564e-15
1.212300406134438390e+03 8.790184494499406188e-16 6.718444066320669143e-16 1.866029851531789693e-15 1.868971653843146698e-15
1.212353784608656497e+03 2.160808332325858567e-15 6.323437529846835861e-16 1.942726685945878266e-15 1.945890421947203428e-15
1.212407162736130658e+03 3.195642002836478394e-15 4.456863377434950521e-16 2.020502286260646248e-15 2.023904018235366746e-15
1.212460540516868377e+03 2.318136030903264039e-15 7.983871564304193538e-16 2.101478440523173999e-15 2.105138797816128066e-15
1.212513917950875566e+03 1.634389749804371335e-15 1.129092413613193308e-15 2.186829007483066173e-15 2.190772241579904875e-15
1.212567295038159273e+03 2.178047164938095008e-15 9.814108085924076386e-16 2.277322323002652773e-15 2.281576105152645967e-15
1.212620671778726091e+03 3.299206925529116602e-15 5.411805703117183334e-16 2.373487986294588791e-15 2.378083463553333572e-15
1.212674048172583070e+03 1.618958737407953356e-15 1.061177860687632114e-15 2.475886990755003227e-15 2.480859245519327628e-15
1.212727424219736577e+03 2.602707222222962454e-15 7.057250947275572496e-16 2.585070112061213078e-15 2.590458654647486990e-15
1.212780799920193431e+03 1.874211894924882094e-15 1.359225756084188710e-15 2.701650281394831883e-15 2.707499706063531199e-15
1.212834175273960682e+03 2.468954810032638269e-15 8.595235576703800147e-16 2.826311164500605052e-15 2.832671937222569436e-15
1.212887550281045151e+03 2.956765632661789573e-15 6.942658477177423701e-16 2.959817172622360371e-15 2.966746559571438856e-15
1.212940924941453204e+03 2.174511340894536379e-15 1.484701025109961549e-15 3.103025180616892320e-15 3.110588330294715900e-15
1.212994299255191436e+03 3.436623684735148970e-15 1.106014406853577984e-15 3.256898225303025587e-15 3.265169486122386817e-15
1.213047673222267804e+03 2.677812148516925355e-15 2.899862719744178575e-16 3.422521705068902204e-15 3.431586160246619332e-15
1.213101046842687538e+03 2.579490819710461900e-15 7.820599615922918137e-16 3.601122467202779673e-15 3.611077803713605211e-15
1.213154420116457914e+03 3.432069206269516536e-15 5.725082379619952355e-16 3.794091504564580151e-15 3.805050260909027027e-15
1.213207793043586435e+03 4.519245553335845297e-15 7.558497014014784516e-16 4.003011065337604211e-15 4.015103314068073153e-15
1.213261165624078785e+03 1.722704965804721014e-15 1.167127353680245347e-15 4.229687059517718095e-15 4.243063726912616225e-15
1.213314537857942469e+03 2.613908829256418647e-15 1.377896391061150077e-15 4.476188255204918637e-15 4.491025100519960334e-15
1.213367909745183624e+03 3.516263707751341133e-15 3.712926974001244624e-16 4.744893674055417760e-15 4.761396231247128655e-15
1.213421281285809528e+03 3.133177881879916822e-15 1.912192908270226320e-15 5.038550491788426272e-15 5.056960168970629610e-15
1.213474652479826773e+03 2.444066665373505229e-15 1.066457388917035040e-15 5.360345292431662638e-15 5.380946870796980427e-15
1.213528023327241499e+03 4.421267649029654331e-15 6.399675540325298139e-16 5.713992178034706870e-15 5.737123317783990146e-15
1.213581393828061891e+03 7.703758806117893794e-15 2.764646872240976772e-16 6.103843294500839978e-15 6.129906346478035149e-15
1.213634763982293634e+03 6.382424706050013331e-15 8.450828588298221686e-16 6.535028347757682907e-15 6.564505462819774508e-15
1.213688133789943549e+03 5.664726316976864842e-15 3.609271273179379576e-16 7.013633442587016988e-15 7.047105916157847623e-15
1.213741503251018230e+03 5.270960880768816544e-15 2.764646872240976772e-16 7.546933847343685874e-15 7.585106931907085111e-15
1.213794872365525180e+03 6.755893924753750263e-15 7.013037149356976780e-16 8.143701663318504203e-15 8.187437308100279433e-15
1.213848241133470538e+03 6.768668984927722772e-15 5.121086477171346543e-16 8.814622690551166022e-15 8.864982499756641420e-15
1.213901609554861352e+03 8.131509162851721547e-15 7.879949175375053201e-16 9.572874130596387259e-15 9.631177383364506079e-15
1.213954977629703762e+03 9.833379411075319731e-15 7.294367940949822467e-16 1.043495064685263389e-14 1.050285375619607798e-14
1.214008345358005272e+03 9.656614511875233325e-15 6.579423847759519289e-16 1.142188675605686742e-14 1.150149398726329551e-14
