WAVELENGTH FLUX
1212.0335085619533 1.14805507740744e-15
1212.0868887699921 1.4803932317836096e-15
1212.140268631253 1.609202608411886e-15
1212.1936481457433 1.7045394188677724e-15
1212.2470273134695 1.7898861500004476e-15
1212.3004061344384 1.8689716538431467e-15
1212.3537846086565 1.9458904219472034e-15
1212.4071627361307 2.0239040182353667e-15
1212.4605405168684 2.105138797816128e-15
1212.5139179508756 2.190772241579905e-15
1212.5672950381593 2.281576105152646e-15
1212.620671778726 2.3780834635533336e-15
1212.674048172583 2.4808592455193276e-15
1212.7274242197366 2.590458654647487e-15
1212.7807999201934 2.7074997060635312e-15
1212.8341752739607 2.8326719372225694e-15
1212.8875502810452 2.966746559571439e-15
1212.9409249414532 3.110588330294716e-15
1212.9942992551914 3.265169486122387e-15
1213.0476732222678 3.4315861602466193e-15
1213.1010468426875 3.611077803713605e-15
1213.154420116458 3.805050260909027e-15
1213.2077930435864 4.015103314068073e-15
1213.2611656240788 4.243063726912616e-15
1213.3145378579425 4.49102510051996e-15
1213.3679097451836 4.761396231247129e-15
1213.4212812858095 5.05696016897063e-15
1213.4746524798268 5.3809468707969804e-15
1213.5280233272415 5.73712331778399e-15
1213.581393828062 6.129906346478035e-15
1213.6347639822936 6.5645054628197745e-15
1213.6881337899435 7.047105916157848e-15
1213.7415032510182 7.585106931907085e-15
1213.7948723655252 8.18743730810028e-15
1213.8482411334705 8.864982499756641e-15
1213.9016095548614 9.631177383364506e-15
1213.9549776297038 1.0502853756196078e-14
1214.0083453580053 1.1501493987263296e-14
1214.0617127397727 1.2655156658468216e-14
1214.1150797750122 1.4001553961401706e-14
1214.1684464637306 1.5593164017015854e-14
1214.2218128059349 1.750601722218623e-14
1214.2751788016315 1.9855176751276758e-14
1214.3285444508278 2.2822344239353833e-14
1214.3819097535302 2.670498673077301e-14
1214.4352747097453 3.2002490141311635e-14
1214.4886393194802 3.9563566318122845e-14
1214.542003582741 5.082965561884558e-14
1214.5953674995349 6.821621612040846e-14
1214.648731069869 9.568862007597083e-14
1214.7020942937493 1.3957881201663165e-13
1214.755457171183 2.0946612189519734e-13
1214.8088197021766 3.1860211157390626e-13
1214.8621818867373 4.825125369076156e-13
1214.9155437248714 7.139308366882144e-13
1214.968905216586 1.0132219924600247e-12
1215.0222663618874 1.3529289214921356e-12
1215.0756271607827 1.6488361917223231e-12
1215.1289876132787 1.7604451243424664e-12
1215.1823477193816 1.6864300486538303e-12
1215.235707479099 1.6909899273806793e-12
1215.2890668924367 1.7606215639284003e-12
1215.342425959402 1.6361210307360249e-12
1215.3957846800015 1.3343228455900125e-12
1215.4491430542425 9.953459750764537e-13
1215.502501082131 6.994242806563066e-13
1215.555858763674 4.718878013626794e-13
1215.609216098878 3.1136940763376116e-13
1215.6625730877502 2.047774823347695e-13
1215.715929730297 1.3662195799722863e-13
1215.7692860265256 9.384292799379817e-14
1215.822641976442 6.70586156484975e-14
1215.8759975800538 5.0090579839225964e-14
1215.9293528373669 3.9077438485954186e-14
1215.9827077483885 3.166975717912355e-14
1216.0360623131255 2.6466872877072526e-14
1216.0894165315842 2.2644364866070485e-14
1216.1427704037715 1.971696287319655e-14
1216.1961239296945 1.7395297033270475e-14
1216.24947710936 1.55023037492161e-14
1216.3028299427738 1.3925607879968722e-14
1216.3561824299436 1.2590776377210104e-14
1216.4095345708752 1.144631466928417e-14
1216.4628863655769 1.0455141703976693e-14
1216.5162378140535 9.589621338569453e-15
1216.569588916313 8.828565313508296e-15
1216.622939672362 8.155353812714513e-15
1216.6762900822068 7.556709289786382e-15
1216.7296401458548 7.0218659250002404e-15
1216.782989863312 6.541987720690041e-15
1216.836339234586 6.109748622604135e-15
1216.8896882596825 5.719021861724828e-15
1216.943036938609 5.364645204702523e-15
1216.9963852713722 5.04211392759068e-15
1217.0497332579782 4.747534879903316e-15
1217.1030808984347 4.477000168928125e-15
1217.1564281927474 4.2261894164135e-15
1217.2097751409242 3.989260032427341e-15
1217.2631217429707 3.758455934098003e-15
1217.3164679988945 3.524678740436915e-15
1217.3698139087014 3.279800192565379e-15
1217.4231594723992 2.9774961813368533e-15
1217.4765046899945 2.287083970129167e-15
