Ion,Wavelength,Likelihood to measure,Log Formation Temperature
S VI,933,Medium,5.3
N III,990,Medium,4.9
N III,992,Medium,4.9
Ne VI,999,Medium,5.6
O VI,1032,Medium,5.5
O VI,1038,Medium,5.5
Fe XIX,1119,Low,6.9
Ne V,1146,Medium,5.5
C III,1175,High,4.9
Si III,1206,High,4.8
O V],1218,Low,5.4
N V,1238,High,5.3
N V,1242,High,5.3
S II,1253,Medium,4.5
S II,1259,Medium,4.5
Si II,1260,Medium,4.5
Si II,1265,High,4.5
Si III,1295,High,4.8
Si III,1297,Medium,4.8
Si III,1299,High,4.8
Si III,1301,High,4.8
Si III,1303,High,4.8
Si II,1304,High,4.5
C II,1324,High,4.7
C II,1335,High,4.6
Fe XXI,1354,Low,7
O V,1371,Low,5.4
Si IV,1394,High,4.9
O IV],1400,Medium,5.2
Si IV,1403,High,4.9
S IV],1406,Low,5
O IV],1407,Medium,5.2
N IV],1487,Low,5.2
Si II,1527,Medium,4.4
Si II,1533,Medium,4.4
C IV,1548,High,5
C IV,1551,High,5
O III],1666,Medium,5
