Ion,Wavelength,Likelihood to measure,Log Formation Temperature,,KM,notes
S VI,933.397,Medium,5.3,,,
C III,977.022,High,4.9,,,
N III,989.787,Medium,4.9,,,
N III,991.495,Medium,4.9,,,
N III,991.564,Medium,4.9,,,
Ne VI,999.182,Medium,5.6,,,
O VI,1031.914,Medium,5.5,,,
C II,1036.332,Medium,4.6,,,
C II,1037.02,High,4.6,,,
O VI,1037.615,Medium,5.5,,,
S IV],1062.664,Medium,5,,,
S IV],1072.974,Medium,5,,,
Si III,1108.357,Low,4.8,,,
Si III,1109.939,Medium,4.8,,,
Si III,1109.969,Medium,4.8,,,
Si III,1113.203,Medium,4.8,,,
Si III,1113.229,Medium,4.8,,,
Fe XIX,1118.057,Low,6.9,,,
Si IV,1122.5,Medium,4.9,,,
Si IV,1128.325,Medium,4.9,,,
Si IV,1128.34,Medium,4.9,,,
Ne V,1145.596,Medium,5.5,,,
C III,1174.935,High,4.9,,,
C III,1175.265,High,4.9,,,
C III,1175.592,High,4.9,,,
C III,1175.713,High,4.9,,,
C III,1175.713,High,4.9,,,
C III,1175.989,High,4.9,,,
C III,1176.372,High,4.9,,,
Si III,1206.499,High,4.8,,y,
O V],1218.39,Low,5.4,,,
N V,1238.821,High,5.3,,y,
N V,1242.804,High,5.3,,y,
S II,1253.811,Medium,4.5,,,
C I,1254.51,Low,4,,,
C III,1256.47,Medium,4.9,,,
C I,1256.498,Medium,4,,,
C I,1257.565,Low,4,,,
Si I,1258.795,Low,4,,,
S II,1259.519,Medium,4.5,,,
Si II,1260.417,Medium,4.5,y,,
C I,1260.613,Medium,4,,,
C I,1261.719,Low,4,,,
Si II,1264.737,High,4.5,y,,
Si II,1265.001,High,4.5,y,changed to high,
C I,1266.415,Low,4,,,
C I,1267.596,Low,4,,,
C I,1274.984,Low,4,,,
C I,1276.22,Low,4,,,
C I,1276.75,Low,4,,,
C I,1288.037,Low,4,,,
C I,1288.422,Low,4,,,
C I,1289.977,Low,4,,,
C I,1291.304,Low,4,,,
Si III,1294.543,High,4.8,,,
S I,1295.653,Low,4,,,
S I,1296.174,Low,4,,,
Si III,1296.726,Medium,4.8,,,
??,1296.87,Low,??,,,
Si III,1298.918,High,4.8,m,,
S I,1300.907,Medium,4,,,
Si III,1301.147,High,4.8,,,
O I,1302.169,High,4,,,
Si III,1303.323,High,4.8,,,
Si II,1304.369,High,4.5,,,
O I,1304.858,High,4,,,
O I,1306.029,High,4,,,
Si II,1309.274,Medium,4.5,,,
S I,1309.3,Low,4,,,
N I,1310.54,Low,4,,,
C I,1310.637,Low,4,,,
C I,1311.363,Medium,4,,,
C I,1311.924,Low,4,,,
C I,1312.247,Low,4,,,
C I,1313.387,Low,4,,,
C I,1313.464,Low,4,,,
C I,1315.918,Low,4,,,
S I,1316.542,Low,4,,,
S I,1316.618,Low,4,,,
N I,1318.998,Medium,4,,,
S I,1323.515,Low,4,,,
C II,1323.907,Medium,4.7,,,
C II,1323.952,High,4.7,,,
S I,1326.643,Low,4,,,
C I,1328.833,Medium,4,,,
C I,1329.085,Medium,4,,,
C I,1329.578,Medium,4,,,
C II,1334.524,High,4.6,,y,
C II,1335.709,High,4.6,,y,
Cl I,1351.657,Medium,4,,,
Fe XXI,1354.08,Low,7,,,
C I,1354.288,Low,4,,,
O I,1355.598,Medium,4,,,
C I,1355.844,Medium,4,,,
C I,1357.134,Low,4,,,
C I,1357.659,Low,4,,,
O I,1358.512,Medium,4,,,
C I,1359.275,Low,4,,,
C I,1359.438,Low,4,,,
Fe II,1360.17,Low,?,,,
Fe II,1361.373,Low,?,,,
C I,1364.164,Medium,4,,,
O V,1371.292,Low,5.4,,,
Si IV,1393.755,High,4.9,,y,
S I,1401.488,Low,4,,,
Si IV,1402.77,High,4.9,,y,
N I,1411.949,Low,4,,,
S I,1425.028,Low,4,,,
S I,1425.188,Low,4,,,
C I,1432.105,Low,4,,,
Ca II,1432.503,Low,?,,,
S I,1433.279,Low,4,,,
S I,1436.967,Low,4,,,
H2,1446.122,Low,?,,,
H2,1457.435,Low,?,,,
C I,1458.078,Low,4,,,
C I,1459.032,Low,4,,,
C I,1463.336,Medium,4,,,
H2,1463.826,Low,?,,,
C I,1467.402,Medium,4,,,
C I,1467.877,Low,4,,,
C I,1468.41,Low,4,,,
C I,1470.094,Low,4,,,
S I,1472.972,Medium,4,,,
S I,1473.995,Medium,4,,,
S I,1474.379,Low,4,,,
C I,1481.114,Low,4,,,
S I,1481.665,Low,4,,,
S I,1481.712,Medium,4,,,
S I,1483.039,Medium,4,,,
S I,1483.233,Low,4,,,
N IV],1486.496,Low,5.2,,,
S I,1487.15,Low,4,,,
N I,1492.625,Medium,4,,,
C I,1492.738,Medium,4,,,
N I,1492.82,Medium,4,,,
C I,1510.981,Medium,4,,,
Si II,1526.706,Medium,4.4,,,
Si II,1533.43,Medium,4.4,,,
C I,1542.177,Medium,4,,,
C IV,1548.201,High,5,,y,
C IV,1550.772,High,5,,y,
C I,1560.971,Medium,4,m,,
He II,1640.42,High,?,m,y,
Fe II,1649.423,Low,?,,,
C I,1657.268,High,4,m,,
CO,1662.6,Medium,?,,,
O III],1666.142,Medium,5,,,
Si I,1666.374,Low,4,,,
Si I,1666.629,Medium,4,,,
Al II,1670.787,High,?,,,
Si I,1696.207,Medium,4,,,
Fe II,1696.794,Medium,?,,,
Si I,1697.941,Medium,4,,,
Mg II,2796.35,High,,,y,
Mg II,2803.53,High,,,y,
