,wave_mm,flux_mm,error_mm,cont_mm,LyA_intrinsic_profile_low_2sig_mm,LyA_intrinsic_profile_low_1sig_mm,LyA_intrinsic_profile_median_mm,LyA_intrinsic_profile_high_1sig_mm,LyA_intrinsic_profile_high_2sig_mm,LyA_model_low_2sig_mm,LyA_model_low_1sig_mm,LyA_model_median_mm,LyA_model_high_1sig_mm,LyA_model_high_2sig_mm,wave_b,flux_b,error_b,cont_b,model_best_fit_b,LyA_intrinsic_profile_bestfit,LyA_intrinsic_profile_low_2sig_b,LyA_intrinsic_profile_low_1sig_b,LyA_intrinsic_profile_median_b,LyA_intrinsic_profile_high_1sig_b,LyA_intrinsic_profile_high_2sig_b,LyA_model_low_2sig_b,LyA_model_low_1sig_b,LyA_model_median_b,LyA_model_high_1sig_b,LyA_model_high_2sig_b,LyA_intrinsic_flux_low_2sig_mm,LyA_intrinsic_flux_low_1sig_mm,LyA_intrinsic_flux_median_mm,LyA_intrinsic_flux_high_1sig_mm,LyA_intrinsic_flux_high_2sig_mm,LyA_intrinsic_flux_low_2sig_b,LyA_intrinsic_flux_low_1sig_b,LyA_intrinsic_flux_median_b,LyA_intrinsic_flux_high_1sig_b,LyA_intrinsic_flux_high_2sig_b
0,1214.0294335711806,-1.8527304871459868e-16,4.1152170865092944e-16,-2.4002759128540133e-16,1.8839003587103294e-17,1.605625831636145e-16,1.9080800385834043e-16,2.1898309864007464e-16,2.456008750786746e-16,1.8078867696402422e-17,1.540966991300888e-16,1.8267936774684652e-16,2.0919405518793044e-16,2.3389038899149297e-16,1214.0275321597296,-1.434864968493207e-16,2.749620012440835e-16,2.859430287864609e-17,1.9880906125610446e-17,2.0757769031551423e-17,-4.0193140351496877e-19,5.714136874961639e-18,2.0757769031551423e-17,4.044266278707829e-17,6.116474129489756e-17,-3.8823899913001393e-19,5.483758331327115e-18,1.9880906125610446e-17,3.862547258940114e-17,5.822580447637888e-17,6.049914169324131e-15,1.0389612007727188e-14,1.4007719707002608e-14,1.9984862278439598e-14,3.054900029456255e-14,6.354995417764545e-15,8.235388268373248e-15,1.0859223025287141e-14,1.488757031105556e-14,2.1810594056079987e-14
1,1214.0828044992124,-3.0051992030985117e-17,4.1152170865092944e-16,-2.400035479690149e-16,3.0739593633715056e-17,2.1348885452619856e-16,2.535880060235693e-16,2.909376447294919e-16,3.2621838615978537e-16,2.963079520053722e-17,2.044849000651694e-16,2.4229065322725695e-16,2.7733295494125833e-16,3.0995991420442567e-16,1214.0808682247857,-5.035343172869557e-17,2.749620012440835e-16,2.870543153958636e-17,2.6284314682335286e-17,2.749929753677863e-17,-7.262104681611308e-19,7.420858431636822e-18,2.749929753677863e-17,5.374154196518888e-17,8.132607224670455e-17,-7.012861379931942e-19,7.11101840966031e-18,2.6284314682335286e-17,5.121415443098589e-17,7.723618969856588e-17,,,,,,,,,,
2,1214.1361750815258,-2.4105712519162717e-16,4.1152170865092944e-16,-2.3997950480837286e-16,4.532443246050614e-17,2.4226887657779487e-16,2.8759838329449103e-16,3.2979189667366676e-16,3.696818555087996e-16,4.359009102935761e-17,2.3138314060754848e-16,2.739637133229979e-16,3.133820941005007e-16,3.500631228609519e-16,1214.1342042898418,1.548379626994378e-16,2.749620012440835e-16,2.881656020052664e-17,2.9596626266878363e-17,3.1058314069522305e-17,-1.1079184550367383e-18,8.165766460030577e-18,3.1058314069522305e-17,6.093088988604858e-17,9.229302339366326e-17,-1.0665090672027939e-18,7.799953937588916e-18,2.9596626266878363e-17,5.788765443583003e-17,8.737523263400748e-17,,,,,,,,,,
3,1214.1895453181273,4.252179218034722e-16,4.1152170865092944e-16,-2.399554618034722e-16,6.516159427483004e-17,2.6915289222128156e-16,3.1928950176183386e-16,3.6592086069869167e-16,4.1004304966430463e-16,6.243322218798617e-17,2.5621507961080615e-16,3.030914739077862e-16,3.4644566673732975e-16,3.86736768771939e-16,1214.187540354898,-1.4282075256068217e-16,2.749620012440835e-16,2.892768886146652e-17,3.2628844419454554e-17,3.4356868151123e-17,-1.4579804402885772e-18,8.805926488250942e-18,3.4356868151123e-17,6.764385284738317e-17,1.0255712494192175e-16,-1.4046902782602868e-18,8.384779741558255e-18,3.2628844419454554e-17,6.403421578465236e-17,9.669837083944e-17,,,,,,,,,,
4,1214.242915209023,-3.376029810456899e-16,4.326546e-16,-2.399314189543101e-16,9.243704216974525e-17,2.97652097063965e-16,3.527891776423013e-16,4.0403889536182945e-16,4.525959459945968e-16,8.83019019976829e-17,2.8226285165301706e-16,3.335657767511797e-16,3.809417069486426e-16,4.2493317097110237e-16,1214.240876419954,-5.853989673563692e-17,2.749620012440835e-16,2.9038817522406796e-17,3.5841718560039637e-17,3.7888852884929074e-17,-1.6850139523290461e-18,9.528753768704487e-18,3.7888852884929074e-17,7.479370713606743e-17,1.1344298796334973e-16,-1.6326929511060646e-18,9.036776545700932e-18,3.5841718560039637e-17,7.051044617649775e-17,1.064799345211145e-16,,,,,,,,,,
5,1214.29628475422,1.4929261226088337e-16,6.1971403e-16,-2.399073762608834e-16,1.2921551785841982e-16,3.288317174575978e-16,3.8931715463750954e-16,4.455438669226818e-16,4.988477143162939e-16,1.2331692125577992e-16,3.1049392416790984e-16,3.6645163224698447e-16,4.1807182161017523e-16,4.659790296666525e-16,1214.2942124850101,3.689000401775826e-16,3.8886762151389215e-16,2.914994618334668e-17,3.9440340671970085e-17,4.188800301776414e-17,-1.716189737331427e-18,1.051603643678893e-17,4.188800301776414e-17,8.26838127224263e-17,1.2539419619521969e-16,-1.6448888875343034e-18,9.917675661569148e-18,3.9440340671970085e-17,7.758365415575099e-17,1.171190819383225e-16,,,,,,,,,,
6,1214.349653953725,8.109867737231892e-16,4.1152170865092944e-16,-2.3988333372318914e-16,1.7846452816039552e-16,3.6414246998390565e-16,4.3038364679791536e-16,4.921066522490036e-16,5.507063076014819e-16,1.6949544417332295e-16,3.4213096111518404e-16,4.030315032838411e-16,4.592573674199525e-16,5.114031323004616e-16,1214.3475485500662,4.541643602752355e-16,5.470959716464592e-16,2.926107484428695e-17,4.371656036050271e-17,4.66693205536069e-17,-1.386595635805306e-18,1.2023358331223166e-17,4.66693205536069e-17,9.175755135664927e-17,1.389607707994694e-16,-1.3471472824995651e-18,1.1266875804246803e-17,4.371656036050271e-17,8.562386411933024e-17,1.2905655017040362e-16,,,,,,,,,,
7,1214.4030228075449,2.398865737352241e-16,4.1152170865092944e-16,-2.398592913412241e-16,2.428853119656701e-16,4.0538695405006417e-16,4.777309165838751e-16,5.455969046481642e-16,6.10177421463858e-16,2.2922307519830227e-16,3.787674424289297e-16,4.44739830366635e-16,5.060132370482118e-16,5.628833144193589e-16,1214.4008846151223,1.0968883234761791e-16,2.749620012440835e-16,2.937220350522723e-17,4.912609709442681e-17,5.2795013038989054e-17,-3.6342840542006294e-19,1.453996271728867e-17,5.2795013038989054e-17,1.0258999822800361e-16,1.548505898997578e-16,-4.09409426236304e-19,1.3506279347951367e-17,4.912609709442681e-17,9.514519923216333e-17,1.428696780539841e-16,,,,,,,,,,
8,1214.456391315686,4.103001391149856e-16,4.787458e-16,-2.3983524911498556e-16,3.197500812896114e-16,4.542048585850244e-16,5.334047260696452e-16,6.081759615616366e-16,6.795739903185142e-16,2.998875142679146e-16,4.217501214507282e-16,4.932812171774488e-16,5.600369225192143e-16,6.220851576507622e-16,1214.4542206801784,-5.855402212107255e-17,2.749620012440835e-16,2.948333216616711e-17,5.64057637291415e-17,6.110220182087855e-17,2.224911409391146e-18,1.889100464517108e-17,6.110220182087855e-17,1.1607719257443264e-16,1.7393846667440774e-16,1.9121476307017064e-18,1.7366785792380758e-17,5.64057637291415e-17,1.0683223185235344e-16,1.5927994839221557e-16,,,,,,,,,,
9,1214.5097594781553,1.0760269570444703e-15,4.1152170865092944e-16,-2.398112070444702e-16,3.977040451174818e-16,5.131984523120222e-16,5.996527217179522e-16,6.826070425249503e-16,7.62006427127673e-16,3.7018471317369064e-16,4.72881187315351e-16,5.503501105138071e-16,6.235013509871426e-16,6.912930731157032e-16,1214.5075567452345,2.357653342818747e-16,2.749620012440835e-16,2.9594460827107386e-17,6.684273184046026e-17,7.310996310463711e-17,7.413723442094144e-18,2.6306023359753176e-17,7.310996310463711e-17,1.335744652997924e-16,1.9762469863529268e-16,6.4413699781682316e-18,2.394687123695814e-17,6.684273184046026e-17,1.2189615774110222e-16,1.7935444706479368e-16,,,,,,,,,,
