wave,flux,error,best_fit_model,best_fit_intrinsic,model_low_2sig,model_low_1sig,model_high_1sig,model_high_2sig,intrinsic_low_2sig,intrinsic_low_1sig,intrinsic_high_1sig,intrinsic_high_2sig
1.212033508561953340e+03,5.056951211770960430e-15,1.642290928217776590e-15,1.144216408643045981e-15,1.145773609141813624e-15,1.121082535200877516e-15,1.132435147766381765e-15,1.156311021081511994e-15,1.167828455220359191e-15,1.122629805505550679e-15,1.133989915158893082e-15,1.157888030150142640e-15,1.169397331793240698e-15
1.212086888769992129e+03,9.575235474052356965e-16,7.108297202483895274e-16,1.475501687267977574e-15,1.477549507086809851e-15,1.445646919134391897e-15,1.460305786702935954e-15,1.491097220346169736e-15,1.505951290287627078e-15,1.447694422574018478e-15,1.462346128188947032e-15,1.493173769115867057e-15,1.508018488600078833e-15
1.212140268631253093e+03,1.272267131084700101e-15,8.344646585473361157e-16,1.603966679655149175e-15,1.606259432955954993e-15,1.571491064003241930e-15,1.587435950608987952e-15,1.620930956266692413e-15,1.637073631975239206e-15,1.573786996795821566e-15,1.589721968927697787e-15,1.623245852040305760e-15,1.639393038919603760e-15
1.212193648145743282e+03,1.389322308681238191e-15,4.551307827776089475e-16,1.699087883278514158e-15,1.701590654417918655e-15,1.664676177755271604e-15,1.681557490088321569e-15,1.717064593440574734e-15,1.734189337056591742e-15,1.667176098849486126e-15,1.684062316667565152e-15,1.719586494773342555e-15,1.736705263230698228e-15
1.212247027313469516e+03,1.782047271448311875e-15,4.346796777871076559e-16,1.784266955366726305e-15,1.786976821932863322e-15,1.748104434551852199e-15,1.765845186886842644e-15,1.803150487223542547e-15,1.821127064494374680e-15,1.750818030051612683e-15,1.768557248373312597e-15,1.805878399146011885e-15,1.823869948590513232e-15
1.212300406134438390e+03,8.790184494499532406e-16,6.718444066320669143e-16,1.863211698407838334e-15,1.866140221750477564e-15,1.825438805291188040e-15,1.843970773138437085e-15,1.882938537146368695e-15,1.901726394142284257e-15,1.828357167998791337e-15,1.846894711320892228e-15,1.885883842330631453e-15,1.904680501358220009e-15
1.212353784608656497e+03,2.160808332325868033e-15,6.323437529846835861e-16,1.940020027863529501e-15,1.943169203238541169e-15,1.900658903905860776e-15,1.919968182945980391e-15,1.960562725693697808e-15,1.980143688955051172e-15,1.903801925051428545e-15,1.923117154291954047e-15,1.963733305800852635e-15,1.983312992370833227e-15
1.212407162736130658e+03,3.195642002836487861e-15,4.456863377434950521e-16,2.017930172588280244e-15,2.021317600771199015e-15,1.976969520681455465e-15,1.997063322702061935e-15,2.039313629718273056e-15,2.059682732439843710e-15,1.980345141472031815e-15,2.000447640524732945e-15,2.042718454139206095e-15,2.063097611675238009e-15
1.212460540516868377e+03,2.318136030903276661e-15,7.983871564304193538e-16,2.099064678551599096e-15,2.102714682022338953e-15,2.056465668640968632e-15,2.077357314438655639e-15,2.121321538073069231e-15,2.142548450825895124e-15,2.060066360248301297e-15,2.080989076235259628e-15,2.124988826299675614e-15,2.146201145488191539e-15
1.212513917950875566e+03,1.634389749804380801e-15,1.129092413613193308e-15,2.184599475884760887e-15,2.188538091912857739e-15,2.140226937141764684e-15,2.162003016219287354e-15,2.207784053350171780e-15,2.229897511633969428e-15,2.144130924968659568e-15,2.165911877987425895e-15,2.211733939238901703e-15,2.233829111538767480e-15
1.212567295038159273e+03,2.178047164938104474e-15,9.814108085924076386e-16,2.275319676186137688e-15,2.279563775428024508e-15,2.229063865857558927e-15,2.251752807636167493e-15,2.299466521049125549e-15,2.322528807900603400e-15,2.233291066353438650e-15,2.255982093713966259e-15,2.303738890929073478e-15,2.326772756747745433e-15
1.212620671778726091e+03,3.299206925529129224e-15,5.411805703117183334e-16,2.371751769289923433e-15,2.376330207895637078e-15,2.323508069615286061e-15,2.347153798942665269e-15,2.396947841663996395e-15,2.420984732669077034e-15,2.328058575006959792e-15,2.351734176639181267e-15,2.401547210203888846e-15,2.425574923998566314e-15
1.212674048172583070e+03,1.618958737407965978e-15,1.061177860687632114e-15,2.474458309619652971e-15,2.479407379142256027e-15,2.424102017452829390e-15,2.448772612193326057e-15,2.500771448167302512e-15,2.525853018350095505e-15,2.429006757946824023e-15,2.453720698816429222e-15,2.505735067805029702e-15,2.530822520140706667e-15
1.212727424219736577e+03,2.602707222222975076e-15,7.057250947275572496e-16,2.583989880199823623e-15,2.589359753184082012e-15,2.531355104953322974e-15,2.557146503652003544e-15,2.611488988047274171e-15,2.637715518604643713e-15,2.536681356494951947e-15,2.562500628377728071e-15,2.616872953157452576e-15,2.643094658355172228e-15
1.212780799920193431e+03,1.874211894924891560e-15,1.359225756084188710e-15,2.700978746531317255e-15,2.706807603666751249e-15,2.645896558812565633e-15,2.672865026096371599e-15,2.729731102959257941e-15,2.757165018966444995e-15,2.651692141180699074e-15,2.678692534349762155e-15,2.735590680227511253e-15,2.763024682517820392e-15
1.212834175273960682e+03,2.468954810032647735e-15,8.595235576703800147e-16,2.826115044977441303e-15,2.832446816276547622e-15,2.768410909506463954e-15,2.796660495024735798e-15,2.856218333858112006e-15,2.884923631693063614e-15,2.774715863444586986e-15,2.802990957872390114e-15,2.862592960275553155e-15,2.891316482033503214e-15
1.212887550281045151e+03,2.956765632661799039e-15,6.942658477177423701e-16,2.960158891235593789e-15,2.967062102368294696e-15,2.899629368016189417e-15,2.929262607779403211e-15,2.991727242496960820e-15,3.021838409107733731e-15,2.906512180698753635e-15,2.936162891113131095e-15,2.998667857313825142e-15,3.028781239270098614e-15
1.212940924941453204e+03,2.174511340894549001e-15,1.484701025109961549e-15,3.103980871020705787e-15,3.111526228518995085e-15,3.040455636198789027e-15,3.071541752105946910e-15,3.137124366982666977e-15,3.168739853314561520e-15,3.047953852703965364e-15,3.079076871081064158e-15,3.144704809398171234e-15,3.176308378687851794e-15
1.212994299255191436e+03,3.436623684735158437e-15,1.106014406853577984e-15,3.258570741034053745e-15,3.266822416668002267e-15,3.191758220755315725e-15,3.224470001288714052e-15,3.293409314883339434e-15,3.326607115752949945e-15,3.199989289038691229e-15,3.232707026757562147e-15,3.301701044780088257e-15,3.334921029789883718e-15
1.213047673222267804e+03,2.677812148516934821e-15,2.899862719744178575e-16,3.425009553237596479e-15,3.434063618345082403e-15,3.354704242704774769e-15,3.389143329349372253e-15,3.461691136038118709e-15,3.496671398405940706e-15,3.363699922161835667e-15,3.398159632615668356e-15,3.470786591395320567e-15,3.505751967564472282e-15
1.213101046842687538e+03,2.579490819710474522e-15,7.820599615922918137e-16,3.604567304802657579e-15,3.614515747609545749e-15,3.530423915807213330e-15,3.566734627026100324e-15,3.643239552437211498e-15,3.680071752655012688e-15,3.540325346836720753e-15,3.576665710043789452e-15,3.653227173528513416e-15,3.690081930479593359e-15
1.213154420116457914e+03,3.432069206269529158e-15,5.725082379619952355e-16,3.798656490194859611e-15,3.809606025583595272e-15,3.720388437042688240e-15,3.758676794254933059e-15,3.839452639104209016e-15,3.878312742388523308e-15,3.731267802255390391e-15,3.769631092947876451e-15,3.850467670865876660e-15,3.889363446000567434e-15
1.213207793043586435e+03,4.519245553335854763e-15,7.558497014014784516e-16,4.008865032631345840e-15,4.020960171624667449e-15,3.926118447158963469e-15,3.966545727085012734e-15,4.052016361478228883e-15,4.093050462331217721e-15,3.938131651112799197e-15,3.978663679056558621e-15,4.064162749045866872e-15,4.105255284078832167e-15
1.213261165624078785e+03,1.722704965804733636e-15,1.167127353680245347e-15,4.237049848013159659e-15,4.250430537805240484e-15,4.149366556075676968e-15,4.192212768055669117e-15,4.282788074800952913e-15,4.326173607358167926e-15,4.162704203239142956e-15,4.205614225519365654e-15,4.296191331913261291e-15,4.339678210596397650e-15
1.213314537857942469e+03,2.613908829256428114e-15,1.377896391061150077e-15,4.485302916447932104e-15,4.500156266048406421e-15,4.392203308893346532e-15,4.437729607114299972e-15,4.533843444238449952e-15,4.579873149818958230e-15,4.407032176431213525e-15,4.452588108007865480e-15,4.548723953720928665e-15,4.594814187263523804e-15
1.213367909745183624e+03,3.516263707751350600e-15,3.712926974001244624e-16,4.756074800739815762e-15,4.772600003559129272e-15,4.657112169561566947e-15,4.705517134762213374e-15,4.807647215545901649e-15,4.856532990294632750e-15,4.673534724969338528e-15,4.722005394448730222e-15,4.824244803186309773e-15,4.873171607229568590e-15
1.213421281285809528e+03,3.133177881879926288e-15,1.912192908270226320e-15,5.052111037524157462e-15,5.070594618921598132e-15,4.946738100976455913e-15,4.998284352953345783e-15,5.107064641966943173e-15,5.158999518755387823e-15,4.965016092154645254e-15,5.016702057099173141e-15,5.125613661706807271e-15,5.177661985361039788e-15
1.213474652479826773e+03,2.444066665373514695e-15,1.066457388917035040e-15,5.376728643322195753e-15,5.397438605086309917e-15,5.264164616445554367e-15,5.319230262166538051e-15,5.435406389409425162e-15,5.490798671014876896e-15,5.284711620715136671e-15,5.339898190353550286e-15,5.456196361046704486e-15,5.511671574760757022e-15
1.213528023327241499e+03,4.421267649029663797e-15,6.399675540325298139e-16,5.733730311299632693e-15,5.756980077441913318e-15,5.613245999454686666e-15,5.672159447200188636e-15,5.796530722195454538e-15,5.855793289944191879e-15,5.636343115519853644e-15,5.695373995600148970e-15,5.819870847890283300e-15,5.879181866999339440e-15
1.213581393828061891e+03,7.703758806117903260e-15,2.764646872240976772e-16,6.127561928713050117e-15,6.153756763499081511e-15,5.998336569785950667e-15,6.061396208946048044e-15,6.194907995858723102e-15,6.258601560938056679e-15,6.024327491806326082e-15,6.087606859489166912e-15,6.221220710848480268e-15,6.284849750321798848e-15
1.213634763982293634e+03,6.382424706050022797e-15,8.450828588298221686e-16,6.563456576938044469e-15,6.593125937273130951e-15,6.424447699957384272e-15,6.492188843740785218e-15,6.635926559010764049e-15,6.704479360948070145e-15,6.453905362096764709e-15,6.521878620242799984e-15,6.665700557160292553e-15,6.734186111933558612e-15
1.213688133789943549e+03,5.664726316976874308e-15,3.609271273179379576e-16,7.047683447417988383e-15,7.081434324381112968e-15,6.897489065797432036e-15,6.970723980581690127e-15,7.125922666554131663e-15,7.199784525040696141e-15,6.931153918599177005e-15,7.004482605733337820e-15,7.159757376221076107e-15,7.233645091159153406e-15
1.213741503251018230e+03,5.270960880768829165e-15,2.764646872240976772e-16,7.587890021069380160e-15,7.626323466590663673e-15,7.425073294498577105e-15,7.504419332836387935e-15,7.672545843884636235e-15,7.752384389302722651e-15,7.463512606165813344e-15,7.542931882678010148e-15,7.711108523165285700e-15,7.791058833032589032e-15
