,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,am_b value,fw_L_b value,fw_G_b value,wave_lya,flux_lya,error_lya
0,2.0820183716378606e-13,2.1172832262231753e-13,2.153213481105793e-13,2.189263973729526e-13,2.2235715094065735e-13,2.172313905430481e-13,2.209510213289258e-13,2.2475991660317835e-13,2.285788511675709e-13,2.322418965979309e-13,0.8294049001334917,0.8315785707432718,0.8338297217700041,0.8360558610940925,0.838178354379326,0.8552141490139925,0.8556568933092288,0.8561119787170772,0.8565595197905801,0.8569882825687574,3.6232984953880994e-12,-14.255093545215038,-10.482890067227427,30.468270425772058,72.0160741946995,17.63789210773759,,-31.552842705678934,13.406605244004407,,19.337141121877206,14.716800881081227,,-23.240619828872305,,,,,,1214.8087799912187,2.0512696949252336e-13,2.5704559872751984e-14
1,2.2812264406025074e-13,2.3195231002357004e-13,2.358576212369801e-13,2.397770507262821e-13,2.435067985158434e-13,2.3835030964890333e-13,2.4239818118144535e-13,2.465516630021192e-13,2.507164041957031e-13,2.5471360561690925e-13,0.8796964580511357,0.8820780462785015,0.8845441064689907,0.8869830219693635,0.8893087489177627,0.9080055863913401,0.9084910403306761,0.9089901212289309,0.9094806602842814,0.9099508056982589,3.716205739736238e-12,-13.848039812436408,-10.46168946527536,31.368721365804525,73.9941129085354,17.68781212663272,,-31.134514926969512,13.422074622679375,,19.66517046748279,14.91456356861238,,-20.393905910971604,,,,,,1214.8216594508206,1.8687415410437191e-13,2.4348414384418697e-14
2,2.434110035105017e-13,2.4746266931565943e-13,2.5159658435796576e-13,2.557442026822177e-13,2.5968822026851373e-13,2.5470796426253e-13,2.5900030606550594e-13,2.6340711407878687e-13,2.6782724251255886e-13,2.7207695894782e-13,0.9078913306667904,0.9104311973770443,0.9130623233253079,0.9156639265386555,0.9181456097948845,0.93812873747009,0.9386467488944326,0.9391794754076948,0.939703521095542,0.9402062763223794,3.817939455076143e-12,-13.41657041874656,-10.439487481589605,32.32423807760757,75.954028394092,17.72113803571706,,-30.7939381737911,13.438240744175182,,20.00735777025553,15.48000514970474,,-15.14047580680706,,,,,,1214.834538661613,1.8038494583839743e-13,2.439796072963539e-14
3,2.5704067949250057e-13,2.6127375173204547e-13,2.6559893835959595e-13,2.699378487849268e-13,2.7406832876576993e-13,2.6937820390029783e-13,2.7388589754171975e-13,2.785190845118399e-13,2.8316613311067194e-13,2.8763204488614007e-13,0.926495189425672,0.9291759269984756,0.9319535157591259,0.9347003950982405,0.937320307117489,0.9584556687652355,0.9590034033522671,0.9595662818050621,0.9601207983007375,0.9606517797657358,3.9255959337888265e-12,-12.978929608557705,-10.416643819055524,33.2741413400263,77.84806664941075,17.750425098876025,,-30.48261943076563,13.454116833820601,,20.352948873518173,16.43940432444905,,-11.49841784532898,,,,,,1214.8474176236098,2.2643425039039646e-13,2.6425693230858194e-14
4,2.69219969883368e-13,2.7360610432553533e-13,2.78091892368516e-13,2.8258928506666577e-13,2.868725982271963e-13,2.826154999255391e-13,2.873042567367903e-13,2.9212741853342425e-13,2.969686172691468e-13,3.016296766554451e-13,0.936526631682874,0.9393323450295197,0.9422403440399205,0.9451166589578641,0.9478602226526082,0.9700312509459588,0.9706048341839277,0.9711952647938666,0.9717767765236343,0.9723335983744381,4.036534426755349e-12,-12.54643630392647,-10.394188969692598,34.22208730021297,79.60680606557305,17.776538648523513,,-30.20511165682646,13.469193368934953,,20.68224309635053,17.00372273742927,,-10.242210740758363,,,,,,1214.8602963368253,2.4281972929126576e-13,2.5665445585313675e-14
5,2.805431324278755e-13,2.8506390824730456e-13,2.8968555166027943e-13,2.9432179266026727e-13,2.987382896219953e-13,2.95031153121873e-13,2.9988134440220233e-13,3.0488081484946463e-13,3.098944208849092e-13,3.1472889119349374e-13,0.9404951525477527,0.9434169409384916,0.9464458941764545,0.9494419791149338,0.9522998918536808,0.9754377407279549,0.9760368102207037,0.9766528754889763,0.9772597933887429,0.9778414621159621,,,,,,,,,,,,,,,,,,,,1214.873174801275,2.3219740681305183e-13,2.610718004357037e-14
6,2.9165035347722594e-13,2.962917128181161e-13,3.010380783773429e-13,3.0580012838732813e-13,3.1034304348619694e-13,3.0729393746064036e-13,3.123019030049485e-13,3.1746511991562094e-13,3.2265291768710397e-13,3.2765204366059315e-13,0.940963853122619,0.9439987674105386,0.9471459560758069,0.9502592136301684,0.9532292328781836,0.9773165601389731,0.9779397338058494,0.9785811908949631,0.9792138077230229,0.9798188378980559,,,,,,,,,,,,,,,,,,,,1214.886053016972,2.50601670155454e-13,2.7142452510824783e-14
7,3.0299209219389737e-13,3.077466333430668e-13,3.1260755704794366e-13,3.174940669245351e-13,3.221511651761243e-13,3.198943751282432e-13,3.2505158225456175e-13,3.3037700750432563e-13,3.357347726561708e-13,3.4090404314001034e-13,0.9396677868656814,0.9428176255936496,0.9460838405652229,0.9493157921415046,0.9524000394664777,0.9774559594973201,0.9781040038205807,0.9787715340874827,0.979430241884266,0.9800598600705799,,,,,,,,,,,,,,,,,,,,1214.8989309839317,2.58375819085796e-13,2.6769263346791694e-14
8,3.148435118796677e-13,3.1970942884500794e-13,3.2468305750669075e-13,3.2969200401789333e-13,3.3447261197205705e-13,3.3311124508853857e-13,3.384269391852559e-13,3.4392722638339853e-13,3.494625100034354e-13,3.547986452901387e-13,0.9375459812258451,0.9408157223849793,0.9442068489458924,0.9475634961099231,0.9507656213322759,0.9768291689226238,0.9775044057071174,0.9781993848922963,0.9788853917224417,0.9795417003157089,,,,,,,,,,,,,,,,,,,,1214.911808702168,2.895598986923019e-13,2.8770531150610484e-14
9,3.2734493777371057e-13,3.3233045452263233e-13,3.3741976087117914e-13,3.4255135053561597e-13,3.474517528190937e-13,3.4713169419358436e-13,3.5261133495013974e-13,3.5829315088360094e-13,3.640119687706585e-13,3.6952096971308706e-13,0.9349952903252203,0.938390971195185,0.9419133869076187,0.9453999561859174,0.9487277146434797,0.9758489958756286,0.9765528510016697,0.9772775648154153,0.9779927876482686,0.9786776955662441,,,,,,,,,,,,,,,,,,,,1214.9246861716952,3.187134573633054e-13,3.038125577937284e-14
