#Rossby numnbers

Star         P_rot(d)     Tau(d)       R_0
HD97658      34.0000      13.6458      2.49160
EpsEri       11.1000      14.2889     0.776825
HD40307      31.8000      16.8850      1.88333
HD85512      45.9000      23.5776      1.94676
GJ676A       41.2000      38.0189      1.08367
GJ649        23.8000      44.4120     0.535892
GJ832        45.7000      48.1393     0.949328
GJ667C       103.900      48.4172      2.14593
GJ15A        30.5000      50.9918     0.598136
GJ176        38.9000      53.0884     0.732740
GJ436        44.6000      59.5662     0.748747
GJ674        33.3000      59.9101     0.555833
GJ581        132.500      66.0693      2.00547
GJ163        61.0000      64.5654     0.944778
GJ849        32.2000      67.9986     0.473539
L-980-5       91.4000      71.6143      1.27628
GJ876A       81.0000      86.0994     0.940773
GJ729        2.84300      80.3526    0.0353816
GJ1132       129.000      85.6052      1.50692
GJ699        145.000      77.1791      1.87875
LHS-2686      28.8000      130.317     0.221000
GJ1214       125.000      132.587     0.942779
TRAPPIST-1       3.29500      582.103   0.00566051
GJ15B        167.600      81.7523      2.05010

