WAVELENGTH FLUX
1213.0284158448858 1.3532905489530474e-35
1213.0784158448857 9.813954685925481e-35
1213.1284158448857 6.82783498243781e-34
1213.1784158448856 4.557303508939835e-33
1213.2284158448856 2.91822556500596e-32
1213.2784158448856 1.792733488047364e-31
1213.3284158448855 1.0565707242026223e-30
1213.3784158448855 5.9740297804073336e-30
1213.4284158448854 3.240575632112953e-29
1213.4784158448854 1.6864089916706062e-28
1213.5284158448853 8.419564431418435e-28
1213.5784158448853 4.0327593691531554e-27
1213.6284158448852 1.8531089833061157e-26
1213.6784158448852 8.169313872720466e-26
1213.7284158448851 3.4550645996517056e-25
1213.778415844885 1.4018861002764282e-24
1213.828415844885 5.457016363669231e-24
1213.878415844885 2.0379041367489216e-23
1213.928415844885 7.301266726006221e-23
1213.978415844885 2.509566138800046e-22
1214.0284158448849 8.2753247528363e-22
1214.0784158448848 2.6179262911856924e-21
1214.1284158448848 7.94539973794469e-21
1214.1784158448847 2.3134496782452105e-20
1214.2284158448847 6.46234785087023e-20
1214.2784158448846 1.7318352442862608e-19
1214.3284158448846 4.4525497893596935e-19
1214.3784158448846 1.0982392574899367e-18
1214.4284158448845 2.5987895494686798e-18
1214.4784158448845 5.899717654514346e-18
1214.5284158448844 1.284923620107587e-17
1214.5784158448844 2.6847840914005878e-17
1214.6284158448843 5.381797930672783e-17
1214.6784158448843 1.0349786174815187e-16
1214.7284158448842 1.9095073568117485e-16
1214.7784158448842 3.3798487273342797e-16
1214.8284158448841 5.739303064417019e-16
1214.878415844884 9.349901209823417e-16
1214.928415844884 1.461304946937432e-15
1214.978415844884 2.1910922123869155e-15
1215.028415844884 3.1518564137644614e-15
1215.078415844884 4.349688558418022e-15
1215.1284158448839 5.758851348104655e-15
1215.1784158448838 7.314750931642089e-15
1215.2284158448838 8.913518823570133e-15
1215.2784158448837 1.0420409771344956e-14
1215.3284158448837 1.1687089702351615e-14
1215.3784158448836 1.2575171764704727e-14
1215.4284158448836 1.2980978860387134e-14
1215.4784158448836 1.285543947464701e-14
1215.5284158448835 1.2213844366232716e-14
1215.5784158448835 1.1132784539658347e-14
1215.6284158448834 9.735117431139076e-15
1215.6784158448834 8.167037575822907e-15
1215.7284158448833 6.5731551199185326e-15
1215.7784158448833 5.075387168237763e-15
1215.8284158448832 3.75967618838492e-15
1215.8784158448832 2.6718844643122848e-15
1215.9284158448831 1.8216749072191274e-15
1215.978415844883 1.1915438953956381e-15
1216.028415844883 7.477134352006282e-16
1216.078415844883 4.501386364352971e-16
1216.128415844883 2.5998205138950365e-16
1216.178415844883 1.4405436085006865e-16
1216.2284158448829 7.657648401836315e-17
1216.2784158448828 3.905264041190438e-17
1216.3284158448828 1.9106949315651515e-17
1216.3784158448827 8.96846812688061e-18
1216.4284158448827 4.0386029200963015e-18
1216.4784158448826 1.7447371536174876e-18
1216.5284158448826 7.231274240923211e-19
1216.5784158448826 2.8753162807410416e-19
1216.6284158448825 1.0968377347506247e-19
1216.6784158448825 4.014071567774564e-20
1216.7284158448824 1.4093336061720973e-20
1216.7784158448824 4.747101012645305e-21
1216.8284158448823 1.5340132351440547e-21
1216.8784158448823 4.755713776378607e-22
1216.9284158448822 1.4144522116894184e-22
1216.9784158448822 4.0359596714911283e-23
1217.0284158448821 1.1048194858427104e-23
1217.078415844882 2.9014948306636893e-24
1217.128415844882 7.3103512642818645e-25
1217.178415844882 1.7670167167444464e-25
1217.228415844882 4.09759507666279e-26
1217.278415844882 9.115980529944673e-27
1217.3284158448819 1.9456454690215607e-27
1217.3784158448818 3.983914355239236e-28
1217.4284158448818 7.826043337658454e-29
1217.4784158448817 1.4748928558290156e-29
1217.5284158448817 2.6666416857936436e-30
1217.5784158448816 4.625458877220833e-31
1217.6284158448816 7.697167775502506e-32
1217.6784158448816 1.2288335221434941e-32
1217.7284158448815 1.88209315820366e-33
1217.7784158448815 2.7655094708682658e-34
1217.8284158448814 3.8984785832812483e-35
1217.8784158448814 5.2723122568670005e-36
1217.9284158448813 6.84058215788017e-37
1217.9784158448813 8.514731766935536e-38
