#WAVELENGTH FLUX ERROR_LOWER ERROR_UPPER
120.08668777435268 1.6221948709602482e-16 1.1847837706852893e-16 2.678599031400031e-16
120.32686114990139 4.0021501857115294e-16 3.5545894590351563e-16 2.896832341091252e-16
120.56751487220119 5.18322894790178e-17 4.3541679836435214e-17 4.693430923805398e-17
120.8086499019456 7.371761746822171e-17 6.842204461443231e-17 6.591863294969177e-17
121.05026720174949 9.921222752982771e-17 8.292203055887978e-17 1.0412706947941504e-16
121.29236773615298 6.866465733712456e-17 5.206695994837829e-17 1.3400285276201693e-16
121.53495247162529 1.333028619770402e-16 1.2754413250624442e-16 1.1630714202854873e-16
121.77802237656854 1.250393725030714e-16 8.784479400923197e-17 2.728913112239497e-16
122.02157842132168 5.1931170409950384e-17 4.246535720392136e-17 4.397333792184826e-17
122.26562157816433 1.2002192025413727e-17 1.089168140236963e-17 9.972933866758986e-18
122.51015282132064 8.324953220404901e-17 7.557306113166548e-17 8.507708933010296e-17
122.7551731269633 1.4780697819987087e-16 1.339181468100494e-16 1.50409440887623e-16
123.00068347321724 1.7830183749878524e-17 1.3678732048307015e-17 2.1546628910115545e-17
123.24668484016367 5.750640828228861e-17 4.928645357806265e-17 4.8430740908131517e-17
123.493178209844 3.2135109704508357e-16 3.042415635402506e-16 2.60592771805215e-16
123.74016456626369 8.250414974916888e-17 6.742573058717844e-17 1.0805502727158173e-16
123.98764489539622 4.1533863300778043e-17 3.394520853064536e-17 4.501772275237722e-17
124.235620185187 4.113433513495196e-17 3.8901819293390774e-17 3.774164687183774e-17
124.48409142555738 7.303199818612702e-17 6.344699177645142e-17 5.904131007553864e-17
124.73305960840851 1.4838519177248066e-16 1.4094356698430605e-16 1.233384272718603e-16
124.98252572762532 3.9822218991650436e-17 3.5486585689303094e-17 3.283130470958518e-17
125.23249077908058 9.111560790195198e-18 7.197411121006244e-18 1.2488881167784143e-17
125.48295576063875 1.3053616714560022e-17 9.974504532796125e-18 1.4291325981825184e-17
125.73392167216001 5.869973957345174e-17 5.0389974278227064e-17 5.089843001353853e-17
125.98538951550434 2.5732484521381628e-17 2.159031815760067e-17 2.1861036238023453e-17
126.23736029453535 3.035972813521474e-17 2.5284203467302123e-17 2.7895040808027625e-17
126.48983501512441 1.9519406690626233e-17 1.5663145088949542e-17 2.2557872600717922e-17
126.74281468515467 6.227827874655792e-17 5.184183218169174e-17 5.755333031726448e-17
126.99630031452497 2.2706112409512878e-17 1.940419760801203e-17 2.0302523765647e-17
127.25029291515402 2.115247121838487e-17 1.7251941757799498e-17 1.9845599195595323e-17
127.50479350098433 1.0758412173192133e-17 8.702814995567363e-18 1.1981456189027382e-17
127.7598030879863 5.532435034306495e-17 4.449296018554297e-17 6.449894927291953e-17
128.01532269416228 4.909293319751988e-17 4.236335046764165e-17 4.000507401960383e-17
128.2713533395506 3.430607173543051e-17 2.6635508034447706e-17 3.4347700740792166e-17
128.5278960462297 1.0484644047473793e-16 8.633715901821615e-17 7.550022262408384e-17
128.78495183832214 3.0038215127224656e-17 2.0612379621986313e-17 1.0021938305155516e-16
129.0425217419988 4.801006837466938e-18 3.812581078524363e-18 4.6830704891956616e-18
129.3006067854828 3.6608519578611194e-17 3.223629659099966e-17 3.1109300264242024e-17
129.55920799905377 2.430123469616307e-17 1.973334854131717e-17 1.8451166789100578e-17
129.81832641505187 8.366448667417758e-17 7.348947705514478e-17 7.509798215824733e-17
130.077963067882 5.3040116946243574e-17 4.264302508054787e-17 3.8561303940942905e-17
130.33811899401778 5.4964325288548804e-17 4.8324482179566804e-17 5.16388903946659e-17
130.59879523200578 2.5691826538149875e-17 2.1034042088759368e-17 2.0240247941487665e-17
130.85999282246982 3.931684474802877e-16 3.4470644161848643e-16 4.140418398261635e-16
131.12171280811475 6.872814329384779e-16 6.447332142168645e-16 6.940234732054401e-16
131.38395623373097 4.840476700721747e-17 4.339229322523859e-17 4.833935615375199e-17
131.6467241461984 2.767459062907833e-17 2.1826922654044824e-17 3.321383450863685e-17
131.9100175944908 5.645569377189783e-17 4.8691251532592026e-17 4.8859751418023714e-17
132.1738376296798 5.225363300075463e-17 4.637570489735913e-17 4.637930207797188e-17
132.43818530493914 5.452402889659774e-17 4.891812981061352e-17 5.355502125581822e-17
132.70306167554904 6.015732294324291e-17 4.523173468493351e-17 7.752727923485538e-17
132.96846779890015 7.845501660245702e-17 5.2866544602476993e-17 3.0346039019915674e-16
133.23440473449793 1.6373849665402362e-17 1.4364202336985933e-17 1.3368134749211185e-17
133.50087354396692 1.3746038129555271e-17 1.2088493238348014e-17 1.4301038714891096e-17
133.76787529105485 4.223662666586905e-17 3.522803139993665e-17 3.031196793699357e-17
134.03541104163696 2.319733106856523e-16 2.0935937032658373e-16 2.1312906445120652e-16
134.30348186372024 1.05253792507104e-16 9.817290241290292e-17 8.114721846159157e-17
134.5720888274477 2.2221780774808122e-17 1.8154344326168096e-17 2.337405145432749e-17
134.84123300510257 1.2937895760027025e-16 1.134960645647171e-16 1.1128368575860568e-16
135.11091547111278 2.6986306584897087e-17 2.441817975165746e-17 2.0205015429252668e-17
135.381137302055 5.756489882044496e-17 5.162226492802341e-17 6.108977606245671e-17
135.65189957665913 2.1659445394849293e-17 1.7837075458546152e-17 1.645086193519137e-17
135.92320337581242 3.7553585136336836e-17 2.6797654547782647e-17 9.108800861278103e-17
136.19504978256407 7.8108751956549e-17 7.159586345483175e-17 6.793353163624816e-17
136.46743988212918 1.0116276166556997e-16 8.147257920919294e-17 1.3428124011762141e-16
136.74037476189346 5.751662290238985e-18 4.740433273053433e-18 5.149241622485785e-18
137.01385551141723 1.0569302500309215e-16 9.991210647036329e-17 9.081174483205231e-17
137.28788322244006 6.225180487210903e-17 5.488590243937793e-17 5.721470633058701e-17
137.56245898888497 3.248535517415484e-16 3.1443055757883093e-16 2.6556381748474996e-16
137.83758390686273 2.414497026478951e-16 2.3142645387536685e-16 2.0067538066542176e-16
138.11325907467645 1.1714757864314263e-16 1.0112932927306909e-16 9.636233046001435e-17
138.3894855928258 4.673414690796904e-17 3.721085060239481e-17 4.8441611838884824e-17
138.6662645640114 8.154189807338402e-17 7.26372519426359e-17 7.567200110526779e-17
138.94359709313946 3.3238796157447936e-17 2.6431480813522664e-17 3.245264125234964e-17
139.22148428732572 4.642236208817775e-17 4.4325448891666967e-17 4.07937687487589e-17
139.4999272559004 8.31888507007912e-17 7.969775281763112e-17 6.958254437131883e-17
139.77892711041216 2.3212668084106333e-16 2.1786728802417993e-16 2.0458291075322498e-16
140.05848496463298 1.3969495621932456e-16 1.2287569350461498e-16 1.1727549027836222e-16
140.33860193456226 8.667148996186744e-17 7.248507841021832e-17 7.722722640724439e-17
140.61927913843138 1.031380945536171e-16 9.03719014706204e-17 8.796277970874005e-17
140.90051769670825 3.577121223185338e-16 3.2251451665780758e-16 2.356743335233729e-16
141.18231873210163 9.642620187743457e-17 7.967768189482128e-17 1.190327313244362e-16
141.46468336956585 1.7199787158177397e-16 1.6650948976439317e-16 1.434252675343663e-16
141.74761273630497 1.7453728976794273e-16 1.6397821954636704e-16 1.4516221215399212e-16
142.0311079617776 5.976670814063065e-17 4.576277443829312e-17 1.0468309340525999e-16
142.31517017770113 9.355318247253742e-17 7.45798233507748e-17 1.1179337300330704e-16
142.59980051805653 4.4021126532815403e-17 3.669421694809058e-17 4.6109803677540424e-17
142.88500011909267 6.202023344763351e-17 5.735611767671372e-17 5.971561910816305e-17
143.17077011933083 4.173686551471265e-17 3.415509309351849e-17 3.9813631713449735e-17
143.4571116595695 4.6612201673937504e-17 4.16629153685513e-17 4.396631133199307e-17
143.74402588288865 2.15555958475522e-16 2.0306242081007106e-16 1.8181615050446833e-16
