WAVELENGTH FLUX
1.0 1.3463828761795457e-24
6.0 5.1444160420137296e-18
11.0 1.2269719811087245e-16
16.0 7.806526236067219e-16
21.0 6.32375017172894e-16
26.0 1.3591046496353248e-16
31.0 1.5807204941266717e-16
36.0 2.3253359864574695e-16
41.0 1.6040973900488567e-16
46.0 1.9319616882282617e-16
51.0 1.6668805552442155e-16
56.0 1.5845346818061613e-16
61.0 1.7130563180718112e-16
66.0 2.0279300446764734e-16
71.0 1.9618267238011393e-16
76.0 1.0380383439739064e-16
81.0 7.011162851483218e-17
86.0 4.7441334651078403e-17
91.0 4.734831714404283e-17
96.0 4.726879516119676e-17
101.0 3.328397491831443e-17
106.0 2.5639294393422854e-17
111.0 1.1933734724292312e-17
116.0 2.211122936707516e-17
121.0 1.8228462455852144e-17
126.0 9.490611032552302e-18
131.0 2.3655277267532347e-17
136.0 1.6669486475680956e-17
141.0 2.5162794313857186e-17
146.0 2.8401317791637655e-17
151.0 3.015290949688903e-17
156.0 4.726813250016566e-17
161.0 5.4194537156487957e-17
166.0 1.1977576247873e-16
171.0 1.819593507093738e-16
176.0 1.861540465951887e-16
181.0 1.6142069516329311e-16
186.0 2.328318833567926e-16
191.0 1.440011816525358e-16
196.0 2.1881815498754962e-16
201.0 1.447939713969073e-16
206.0 1.6465585924283008e-16
211.0 2.229091386462244e-16
216.0 1.8166253103879616e-16
221.0 3.3294641296002046e-16
226.0 1.4003905883036092e-16
231.0 5.591889373361021e-17
236.0 1.0555659035443249e-16
241.0 7.376569897965314e-17
246.0 1.4417703316456014e-16
251.0 2.385595884880992e-16
256.0 3.284147401587385e-16
261.0 1.2303723374546615e-16
266.0 1.9998060950886727e-16
271.0 9.229296512125024e-17
276.0 1.1787096200376025e-16
281.0 2.0180291025795986e-17
286.0 1.3967648950551066e-15
291.0 8.860052748145334e-17
296.0 1.736158235246191e-17
301.0 2.367495254454482e-16
306.0 8.932018420695141e-17
311.0 5.1556145759396325e-17
316.0 5.1159173236446925e-17
321.0 6.440697285973952e-17
326.0 2.962814954575205e-17
331.0 1.521942089002978e-17
336.0 1.190982476044863e-15
341.0 1.537575703795249e-17
346.0 3.396867404255525e-17
351.0 4.214155637774958e-17
356.0 9.635121090620944e-17
361.0 5.710336335683723e-16
366.0 8.870687854600133e-17
371.0 7.850900145701284e-18
376.0 3.24231083653839e-18
381.0 4.397930270562677e-18
386.0 8.739896606173327e-18
391.0 1.399015503136253e-17
396.0 1.548301190795286e-18
401.0 3.123560665795822e-17
406.0 1.332259564874841e-18
411.0 1.0353403413000589e-17
416.0 1.2760638912912327e-16
421.0 2.9905970842396847e-18
426.0 1.8147058710231134e-18
431.0 1.271342523266643e-17
436.0 1.846555202924201e-17
441.0 3.825604691965004e-18
446.0 4.3565718976482526e-17
451.0 2.2272163026101354e-18
456.0 3.1081159854688265e-18
461.0 2.9065126361736605e-18
466.0 3.2702223801787425e-17
471.0 4.008974638887457e-18
476.0 4.2601674700059864e-19
481.0 1.9057691986890763e-17
486.0 2.8672802492233423e-18
491.0 6.3657915966613045e-18
496.0 8.99586222536149e-19
501.0 1.9429240662790032e-16
506.0 4.8137911183210325e-18
511.0 1.9968201872630456e-18
516.0 8.970412681612534e-19
521.0 9.584353961984855e-17
526.0 2.314268985505273e-18
531.0 8.55177396140489e-19
536.0 1.2394798200937513e-18
541.0 3.798248557932471e-18
546.0 3.496761906415286e-18
551.0 1.6795909759068484e-17
556.0 5.373733574891762e-17
561.0 2.5499390412603596e-17
566.0 9.118527938525462e-18
571.0 1.0202797675710129e-17
576.0 2.6227897970695695e-18
581.0 4.744838050471588e-18
586.0 3.1018171481273894e-18
591.0 2.294898598898675e-19
596.0 1.0086228478223832e-18
601.0 4.751576907797531e-18
606.0 6.129793381076414e-18
611.0 8.264005438883213e-17
616.0 8.809673677934973e-19
621.0 5.067937631105187e-19
626.0 4.618689998101343e-17
631.0 1.1106735815816882e-16
636.0 5.488292221411828e-19
641.0 8.07699192967182e-19
646.0 2.3194406797372036e-19
651.0 6.294498717090632e-19
656.0 1.8619367470260004e-18
661.0 3.231226445383391e-18
666.0 2.32284199295284e-19
671.0 1.762670435893284e-19
676.0 3.532383206905823e-19
681.0 3.0154614216914044e-18
686.0 2.5825078248355764e-18
691.0 5.305080586425e-19
696.0 2.184191918864383e-18
701.0 5.346292355592077e-18
706.0 6.5370940073590495e-18
711.0 5.213323522333622e-19
716.0 5.684585157255102e-19
721.0 1.0567568424596043e-18
726.0 2.216205665414067e-19
731.0 2.0346649195304185e-19
736.0 6.404284369616278e-20
741.0 8.069849359276028e-20
746.0 7.878322601686169e-19
751.0 1.4365296647591042e-18
756.0 3.223356552383629e-19
761.0 7.947691751350951e-17
766.0 9.653642967154397e-18
771.0 3.258926112337429e-17
776.0 7.567087234053675e-19
781.0 1.7106397948372346e-17
786.0 2.7438509321955722e-17
791.0 3.47679382510869e-17
796.0 2.1474684940947023e-19
801.0 3.719525412230238e-19
806.0 3.5491137607657117e-19
811.0 2.4026712965317395e-19
816.0 3.863610207325588e-19
821.0 1.4982759347342815e-19
826.0 1.2019780995822495e-19
831.0 2.592059116042115e-18
836.0 1.3778073732663816e-17
841.0 9.752151174455561e-20
846.0 1.4980458784708947e-19
851.0 7.439109888931627e-19
856.0 1.5251441777922395e-18
861.0 1.1300732538448162e-18
866.0 1.84460707557643e-19
871.0 9.389386210613486e-20
876.0 1.9549339049631537e-19
