#WAVELENGTH FLUX
1220.0198090888043 4.220888192628977e-18
1220.0297707135949 1.7437420909141426e-17
1220.0397323383856 1.7859255925340277e-17
1220.054674775571 1.755841778897879e-18
1220.069617212758 2.2351910028380076e-18
1220.0795788375488 1.506772248743744e-17
1220.0895404623393 8.161369068747645e-17
1220.09950208713 3.094515087260495e-17
1220.1194253367116 1.377303182955917e-17
1220.1393485862932 5.245055279522796e-18
1220.1493102110837 1.2673037212269782e-17
1220.1592718358745 8.153316288294537e-18
1220.1692334606653 2.883894230466496e-17
1220.179195085456 5.332390299252375e-18
1220.1891567102468 7.929975830824472e-17
1220.1991183350376 2.4118009536692976e-17
1220.224022397014 2.0365462368123365e-18
1220.2489264589913 5.964724823329902e-18
1220.2638688961777 2.7093083353544655e-17
1220.2788113333634 4.8323421041462865e-17
1220.2887729581541 6.637467571948487e-17
1220.298734582945 2.1531799882605404e-17
1220.3236386449212 7.19280418079629e-18
1220.3485427068986 3.3199913576273633e-18
1220.3585043316893 4.0510672106824193e-19
1220.3684659564801 2.207075173558358e-17
1220.378427581271 4.2355617510291545e-19
1220.3883892060617 1.919084202011862e-17
1220.4033316432485 4.5659971699217015e-18
1220.4182740804338 1.9218395980991242e-17
1220.4282357052246 3.223550797580826e-17
1220.4381973300153 2.1842993078973003e-17
1220.448158954806 1.3216454071864552e-17
1220.4581205795967 3.753431265590093e-17
1220.4830246415725 4.2254959836068626e-18
1220.5079287035505 2.6864944546008645e-17
1220.5328327655284 5.521822861145832e-18
1220.5577368275042 4.882717230053264e-17
1220.567698452295 6.639383126053234e-18
1220.5776600770857 1.0810883428247093e-18
1220.5876217018763 1.6760259078521635e-17
1220.597583326667 4.070715716638835e-17
1220.6075449514578 1.3975084290463972e-17
1220.6224873886447 6.51547559924946e-18
1220.6374298258302 1.7426766002908818e-17
1220.6473914506207 5.173585223102764e-17
1220.6573530754115 6.95967118633653e-18
1220.6673147002023 1.4022621946391314e-18
1220.677276324993 7.000476437416791e-18
1220.6872379497838 4.299891384341378e-18
1220.6971995745746 1.4735466199097923e-18
1220.7071611993651 4.406133838042113e-18
1220.717122824156 4.9197659172079497e-17
1220.7270844489467 1.0259341224771425e-17
1220.742026886133 2.1043651163513116e-17
1220.7619501357144 5.253794769222519e-18
1220.7768925729004 2.1234352146820123e-17
1220.7868541976911 3.436293708897803e-17
1220.8017966348773 3.073943689019044e-17
1220.826700696854 5.970479736269046e-18
1220.8466239464356 3.4805977577795646e-17
1220.8565855712263 1.8731794554711794e-17
