

                ecliptic
RA      Dec     latitude
346.627  -5.043   0.630

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-06-01      2020-07-23        52.00     247.27466     246.71194     346.62650      -5.04350 
 2020-10-24      2020-12-13        50.00      68.00002      67.12702     346.62650      -5.04350 
 2021-06-01      2021-07-23        52.00     247.29551     246.70971     346.62650      -5.04350 
 2021-10-24      2021-12-13        50.00      68.00619      67.11052     346.62650      -5.04350 
 2022-06-01      2022-07-23        52.00     247.31714     246.70193     346.62650      -5.04350 
 2022-10-24      2022-12-13        50.00      68.00838      67.09516     346.62650      -5.04350 
 2023-06-01      2023-07-23        52.09     247.33870     246.68672     346.62650      -5.04350 
 2023-10-24      2023-12-13        49.95      68.00381      67.08251     346.62650      -5.04350 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-06-02   243.35 251.20   243.23 251.09    21.84  29.69   243.92 251.77   248.18 256.04   242.10 249.95
2020-06-03   242.74 251.79   242.63 251.68    21.23  30.29   243.31 252.36   247.57 256.63   241.49 250.54
2020-06-04   242.16 252.36   242.04 252.25    20.65  30.86   242.72 252.93   246.99 257.20   240.90 251.11
2020-06-05   242.15 252.35   242.04 252.24    20.64  30.85   242.72 252.92   246.99 257.19   240.90 251.10
2020-06-06   242.15 252.35   242.03 252.23    20.64  30.84   242.72 252.92   246.98 257.18   240.89 251.09
2020-06-07   242.14 252.34   242.03 252.23    20.63  30.83   242.71 252.91   246.97 257.17   240.89 251.09
2020-06-08   242.13 252.33   242.02 252.22    20.62  30.83   242.70 252.90   246.96 257.17   240.88 251.08
2020-06-09   242.12 252.33   242.01 252.22    20.61  30.82   242.69 252.90   246.95 257.16   240.87 251.08
2020-06-10   242.11 252.33   242.00 252.21    20.60  30.82   242.68 252.90   246.94 257.16   240.86 251.07
2020-06-11   242.10 252.32   241.98 252.21    20.59  30.82   242.67 252.89   246.93 257.16   240.84 251.07
2020-06-12   242.08 252.32   241.97 252.21    20.57  30.82   242.65 252.89   246.92 257.16   240.83 251.07
2020-06-13   242.07 252.33   241.95 252.21    20.56  30.82   242.64 252.90   246.90 257.16   240.81 251.07
2020-06-14   242.05 252.33   241.94 252.22    20.54  30.82   242.62 252.90   246.88 257.16   240.80 251.08
2020-06-15   242.03 252.33   241.92 252.22    20.52  30.82   242.60 252.90   246.86 257.17   240.78 251.08
2020-06-16   242.01 252.34   241.90 252.23    20.50  30.83   242.58 252.91   246.84 257.17   240.76 251.09
2020-06-17   241.99 252.34   241.87 252.23    20.48  30.84   242.56 252.91   246.82 257.18   240.74 251.09
2020-06-18   241.96 252.35   241.85 252.24    20.46  30.85   242.53 252.92   246.80 257.19   240.71 251.10
2020-06-19   241.94 252.36   241.83 252.25    20.43  30.86   242.51 252.93   246.77 257.20   240.69 251.11
2020-06-20   241.91 252.37   241.80 252.26    20.40  30.87   242.48 252.94   246.74 257.21   240.66 251.12
2020-06-21   241.88 252.39   241.77 252.28    20.37  30.88   242.45 252.96   246.72 257.22   240.63 251.14
2020-06-22   241.85 252.40   241.74 252.29    20.34  30.89   242.42 252.97   246.69 257.24   240.60 251.15
2020-06-23   241.82 252.42   241.71 252.31    20.31  30.91   242.39 252.99   246.65 257.25   240.57 251.17
2020-06-24   241.78 252.44   241.67 252.32    20.28  30.93   242.35 253.01   246.62 257.27   240.53 251.19
2020-06-25   241.75 252.46   241.64 252.34    20.24  30.95   242.32 253.03   246.58 257.29   240.50 251.20
2020-06-26   241.71 252.48   241.60 252.36    20.20  30.97   242.28 253.05   246.54 257.31   240.46 251.23
2020-06-27   241.67 252.50   241.56 252.39    20.16  30.99   242.24 253.07   246.50 257.33   240.42 251.25
2020-06-28   241.63 252.52   241.51 252.41    20.12  31.02   242.20 253.09   246.46 257.36   240.38 251.27
2020-06-29   241.58 252.55   241.47 252.44    20.07  31.04   242.15 253.12   246.42 257.38   240.33 251.30
2020-06-30   241.53 252.58   241.42 252.46    20.03  31.07   242.10 253.15   246.37 257.41   240.28 251.33
2020-07-01   241.49 252.61   241.37 252.49    19.98  31.10   242.06 253.18   246.32 257.44   240.23 251.36
2020-07-02   241.43 252.64   241.32 252.53    19.93  31.13   242.00 253.21   246.27 257.47   240.18 251.39
2020-07-03   241.38 252.67   241.27 252.56    19.87  31.16   241.95 253.24   246.21 257.51   240.13 251.42
2020-07-04   241.32 252.71   241.21 252.60    19.82  31.20   241.89 253.28   246.16 257.54   240.07 251.46
2020-07-05   241.26 252.75   241.15 252.63    19.76  31.24   241.83 253.32   246.10 257.58   240.01 251.50
2020-07-06   241.20 252.79   241.09 252.67    19.69  31.28   241.77 253.36   246.04 257.62   239.95 251.54
2020-07-07   241.14 252.83   241.02 252.72    19.63  31.32   241.71 253.40   245.97 257.66   239.88 251.58
2020-07-08   241.07 252.87   240.95 252.76    19.56  31.37   241.64 253.44   245.90 257.71   239.82 251.62
2020-07-09   241.00 252.92   240.88 252.81    19.49  31.41   241.57 253.49   245.83 257.75   239.74 251.67
2020-07-10   240.92 252.97   240.81 252.86    19.41  31.46   241.49 253.54   245.75 257.80   239.67 251.72
2020-07-11   240.84 253.02   240.73 252.91    19.33  31.51   241.41 253.59   245.68 257.86   239.59 251.77
2020-07-12   240.76 253.08   240.65 252.96    19.25  31.57   241.33 253.65   245.59 257.91   239.51 251.83
2020-07-13   240.67 253.14   240.56 253.02    19.17  31.63   241.24 253.71   245.51 257.97   239.42 251.88
2020-07-14   240.58 253.20   240.47 253.08    19.08  31.69   241.15 253.77   245.42 258.03   239.33 251.95
2020-07-15   240.49 253.26   240.38 253.15    18.98  31.75   241.06 253.83   245.32 258.09   239.24 252.01
2020-07-16   240.39 253.33   240.28 253.22    18.88  31.82   240.96 253.90   245.22 258.16   239.14 252.08
2020-07-17   240.29 253.40   240.17 253.29    18.78  31.89   240.86 253.97   245.12 258.23   239.04 252.15
2020-07-18   240.18 253.47   240.07 253.36    18.67  31.97   240.75 254.04   245.01 258.31   238.93 252.22
2020-07-19   240.07 253.55   239.95 253.44    18.56  32.04   240.64 254.12   244.90 258.39   238.81 252.30
2020-07-20   239.95 253.63   239.83 253.52    18.44  32.13   240.52 254.20   244.78 258.47   238.70 252.38
2020-07-21   239.82 253.72   239.71 253.61    18.31  32.21   240.39 254.29   244.66 258.56   238.57 252.47
2020-07-22   239.69 253.81   239.58 253.70    18.18  32.31   240.26 254.38   244.52 258.65   238.44 252.56
2020-07-23   239.55 253.91   239.44 253.80    18.04  32.40   240.12 254.48   244.39 258.74   238.30 252.66

2020-10-25    60.89  75.10    60.78  74.99   199.38 213.60    61.46  75.67    65.72  79.94    59.64  73.85
2020-10-26    60.98  74.96    60.87  74.85   199.47 213.46    61.55  75.53    65.82  79.80    59.73  73.71
2020-10-27    61.07  74.83    60.96  74.72   199.56 213.32    61.64  75.40    65.90  79.66    59.82  73.58
2020-10-28    61.15  74.70    61.04  74.59   199.64 213.19    61.72  75.27    65.98  79.53    59.90  73.45
2020-10-29    61.23  74.58    61.11  74.46   199.72 213.07    61.80  75.15    66.06  79.41    59.98  73.33
