obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2000.371""","=""0.005""","=""2000.37261""","=""0.00009""","=""2300d?""","=""""",,"=""13474.4474""","=""63465.134""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""""","=""L18349c143""",
"=""2001.02542""","=""0.00010""","=""2001.02541""","=""0.00009""","=""80000""","=""9.5e+07""",C+,"=""20340.2461""","=""70314.624""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2001.5528""","=""0.0004""","=""2001.55244""","=""0.00009""","=""1400""","=""6.e+06""",D,"=""57493.333""","=""107454.552""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2001.5773""","=""0.0003""","=""2001.57728""","=""0.00009""","=""1600""","=""""",,"=""57411.086""","=""107371.685""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2002.481""","=""0.005""","=""2002.47779""","=""0.00010""","=""250bl(Fe III)""","=""""",,"=""59663.440""","=""109601.572""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(3D).5s""","=""2D""","=""3/2""",,"=""""","=""L18349c142""",
"=""2003.131""","=""0.005""","=""2003.13266""","=""0.00009""","=""210d?""","=""""",,"=""63559.498""","=""113481.304""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""","=""3d6.(5D).7s""","=""4D""","=""3/2""",,"=""""","=""L18349c142""",
"=""2003.2042""","=""0.0005""","=""2003.20433""","=""0.00010""","=""1000""","=""""",,"=""57578.490""","=""107498.510""","=""3d5.4s2""","=""d 4P""","=""1/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
"=""2003.8395""","=""0.0013""","=""2003.8395""","=""0.0005""","=""600""","=""3.9e+07""",D+,"=""54063.358""","=""103967.555""","=""3d6.(3P1).4s""","=""c 2P""","=""1/2""","=""3d5.(4P).4s.4p.(3P*)""","=""2S*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2004.155""","=""0.005""","=""2004.16132""","=""0.00010""","=""600bl(Fe III)""","=""""",,"=""60270.351""","=""110166.534""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2004.254""","=""0.005""","=""2004.26423""","=""0.00009""","=""310bl(Fe I)""","=""""",,"=""64040.891""","=""113934.512""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c143""",
"=""2004.5591""","=""0.0007""","=""2004.55863""","=""0.00009""","=""2900""","=""5.e+06""",D,"=""13673.2045""","=""63559.498""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
