#WAVELENGTH FLUX
1950.05 1.213419438247301e-18
1950.1 1.2135190047960473e-18
1950.15 1.2136185693483318e-18
1950.2 1.2137181335331236e-18
1950.25 1.2138176968332905e-18
1950.3 1.2139172591681684e-18
1950.35 1.2140168215814502e-18
1950.4 1.2141163812723806e-18
1950.45 1.2142159408104666e-18
1950.5 1.2143154994507243e-18
1950.55 1.2144150573010418e-18
1950.6 1.2145146141205538e-18
1950.65 1.2146141700724558e-18
1950.7 1.2147137250743472e-18
1950.75 1.2148132803468065e-18
1950.8 1.2149128324244632e-18
1950.85 1.2150123846355855e-18
1950.9 1.2151119364768155e-18
1950.95 1.2152114863993126e-18
1951.0 1.2153110359681744e-18
1951.05 1.2154105844844522e-18
1951.1 1.2155101321925557e-18
1951.15 1.2156096789317616e-18
1951.2 1.2157092247544208e-18
1951.25 1.2158087703918896e-18
1951.3 1.2159083140475672e-18
1951.35 1.2160078564573658e-18
1951.4 1.21610739854293e-18
1951.45 1.2162069398844555e-18
1951.5 1.2163064799071515e-18
1951.55 1.2164060191968453e-18
1951.6 1.2165055575508867e-18
1951.65 1.2166050952239014e-18
1951.7 1.2167046321231348e-18
1951.75 1.2168041670192127e-18
1951.8 1.2169037024267067e-18
1951.85 1.2170032353113322e-18
1951.9 1.2171027680504145e-18
1951.95 1.2172022998760545e-18
1952.0 1.217301830721544e-18
1952.05 1.2174013607063757e-18
1952.1 1.2175008896426642e-18
1952.15 1.2176004182519338e-18
1952.2 1.2176999448762876e-18
1952.25 1.2177994709450527e-18
1952.3 1.2178989962089881e-18
1952.35 1.2179985207387175e-18
1952.4 1.2180980437601691e-18
1952.45 1.2181975661444114e-18
1952.5 1.2182970875796262e-18
1952.55 1.2183966080791407e-18
1952.6 1.2184961276132049e-18
1952.65 1.2185956464206562e-18
1952.7 1.2186951639929631e-18
1952.75 1.2187946805647427e-18
1952.8 1.2188941964075182e-18
1952.85 1.2189937110925772e-18
1952.9 1.2190932249159141e-18
1952.95 1.2191927379334522e-18
1953.0 1.2192922497205444e-18
1953.05 1.2193917607914431e-18
1953.1 1.219491271068059e-18
1953.15 1.2195907797842303e-18
1953.2 1.2196902881341728e-18
1953.25 1.2197897956525924e-18
1953.3 1.2198893013975669e-18
1953.35 1.219988806880354e-18
1953.4 1.2200883109569174e-18
1953.45 1.2201878140443876e-18
1953.5 1.220287316506535e-18
1953.55 1.2203868177801184e-18
1953.6 1.2204863182706602e-18
1953.65 1.2205858188599886e-18
1953.7 1.2206853164429159e-18
1953.75 1.2207848139524217e-18
1953.8 1.2208843105296281e-18
1953.85 1.2209838060180765e-18
1953.9 1.221083301446989e-18
1953.95 1.2211827942199808e-18
1954.0 1.2212822870289371e-18
1954.05 1.2213817785843656e-18
1954.1 1.2214812693214187e-18
1954.15 1.221580759164229e-18
1954.2 1.2216802479393923e-18
1954.25 1.2217797368042493e-18
1954.3 1.2218792241977402e-18
1954.35 1.2219787097355916e-18
1954.4 1.2220781933898362e-18
1954.45 1.2221776773422489e-18
1954.5 1.2222771617260658e-18
1954.55 1.2223766422803804e-18
1954.6 1.2224761237548102e-18
1954.65 1.22257560329361e-18
1954.7 1.2226750823454004e-18
1954.75 1.222774560685837e-18
1954.8 1.2228740383429684e-18
1954.85 1.2229735135880255e-18
1954.9 1.223072988712787e-18
1954.95 1.2231724643766532e-18
1955.0 1.2232719365676117e-18
