#WAVELENGTH FLUX
1221.0 -2.6585942835515347e-16
1222.0 1.6351661547448608e-17
1223.0 5.76918423998129e-18
1224.0 9.545059614389315e-18
1225.0 1.3102374953332854e-17
1226.0 7.199572967554854e-18
1227.0 4.661111232121715e-18
1228.0 1.1355657699166204e-18
1229.0 -6.33776480153022e-18
1230.0 1.2214862291465242e-18
1231.0 -3.797810719433042e-18
1232.0 5.734999680098858e-18
1233.0 -2.803419765236542e-17
1234.0 -1.2310818409480209e-18
1235.0 5.3947042396798814e-18
1236.0 -2.4058192480137177e-17
1237.0 -4.108801192407726e-17
1238.0 2.2895350549561902e-17
1239.0 3.848194535535952e-17
1240.0 3.689388607735372e-18
1241.0 7.355444307794109e-18
1242.0 7.603346775835458e-18
1243.0 2.1602444422584425e-17
1244.0 -2.908714735261841e-18
1245.0 5.48923257331625e-18
1246.0 -9.549560295406039e-18
1247.0 -2.6990419519571764e-18
1248.0 -5.5853599724574814e-18
1249.0 4.952960757290934e-19
1250.0 9.775594487552303e-18
1251.0 6.384733876315834e-18
1252.0 -1.352142839227923e-18
1253.0 -1.2502532482052974e-18
1254.0 6.95126762194458e-18
1255.0 2.835705042576499e-18
1256.0 3.9999946042165165e-18
1257.0 1.3811692465165187e-18
1258.0 7.703138298572034e-19
1259.0 -1.2651438246564756e-18
1260.0 4.837128389913632e-18
1261.0 4.771695296351275e-18
1262.0 9.550555526144116e-19
1263.0 4.529568160605475e-18
1264.0 -1.2634593653903832e-19
1265.0 -1.6923292940446581e-18
1266.0 -7.60247485370698e-18
1267.0 3.662797068422078e-18
1268.0 2.2298034129712634e-18
1269.0 6.439110387398031e-18
1270.0 -3.8646791268017693e-19
1271.0 1.0342051787565145e-17
1272.0 -7.127784637062147e-18
1273.0 6.625710547663362e-18
1274.0 1.5599004235190133e-18
1275.0 0.0
1276.0 0.0
1277.0 0.0
1278.0 0.0
1279.0 0.0
1280.0 0.0
1281.0 0.0
1282.0 0.0
1283.0 0.0
1284.0 0.0
1285.0 0.0
1286.0 0.0
1287.0 -5.882822975499562e-19
1288.0 -1.7193914038398228e-18
1289.0 1.6178477202688865e-17
1290.0 3.0992891437783257e-18
1291.0 6.469449036381889e-19
1292.0 3.829948676613568e-18
1293.0 -9.13836306150594e-18
1294.0 -1.0307786542476309e-17
1295.0 -9.352033607857824e-18
1296.0 -7.27166766695862e-18
1297.0 -6.4657040837013096e-18
1298.0 -6.863250891061287e-18
1299.0 2.3450305767991613e-18
1300.0 -2.509820131978942e-18
1301.0 -1.7110644987329196e-18
1302.0 -1.1049312251592215e-18
1303.0 -6.914203112326043e-19
1304.0 -4.705317570287986e-19
1305.0 -4.422655624720739e-19
1306.0 -6.066217276129172e-19
1307.0 -9.636002524008414e-19
1308.0 -1.5132011368863337e-18
1309.0 -2.255424381069394e-18
1310.0 6.122383749583357e-19
1311.0 -1.1659565004790744e-17
1312.0 -2.1457797075558567e-18
1313.0 -4.870139613648179e-18
1314.0 -1.0791498611968538e-17
1315.0 -5.3932990913661575e-18
1316.0 -7.101853974468221e-18
1317.0 -2.8197366792680055e-18
1318.0 3.021939630818674e-18
1319.0 -6.352553912479698e-18
1320.0 -8.748547646996911e-19
1321.0 -3.0023899376468823e-18
1322.0 -1.4354666429182206e-18
1323.0 -9.663047586623473e-18
1324.0 -3.0656204476732057e-18
1325.0 -6.0146760003954876e-18
1326.0 -6.3910241938247614e-18
1327.0 -7.595765848012624e-18
1328.0 -6.386792272923302e-18
1329.0 -1.8150595909031567e-18
1330.0 -4.9341745643890046e-18
1331.0 -1.5011591972933753e-17
1332.0 -3.697807256804678e-18
1333.0 -7.047573574042259e-18
1334.0 3.704387734903199e-17
1335.0 3.8137383224565295e-17
1336.0 1.4394997198016093e-17
1337.0 -9.468895180267815e-18
1338.0 -1.720458202295596e-17
1339.0 -1.7574207694678196e-17
1340.0 6.186728085607737e-18
1341.0 -5.549268137751712e-18
1342.0 -7.233979895905544e-18
1343.0 -5.006971988111775e-18
1344.0 -1.4963439747706256e-17
1345.0 -8.131942905028404e-18
1346.0 -5.323657517475537e-18
1347.0 -1.1780907971806222e-17
1348.0 -4.4684019674505805e-18
1349.0 -9.871414216794852e-18
1350.0 -9.973913173961593e-18
1351.0 -1.1381459221659019e-17
1352.0 -4.104335176877893e-19
1353.0 -5.834281985534851e-18
1354.0 -5.4971398271364294e-18
1355.0 -5.507494125531931e-18
1356.0 -5.828846905089572e-19
1357.0 -1.2251983657570675e-17
1358.0 -6.348265559056569e-18
1359.0 -1.3147414094045132e-17
1360.0 -7.385102487448684e-18
1361.0 -1.8799881437319128e-17
1362.0 -1.8157378181572324e-17
1363.0 -6.5006032053162485e-18
1364.0 -1.8336470308395452e-17
1365.0 -1.9717703680887268e-17
1366.0 -1.0432089735437166e-17
1367.0 -1.8390210644211246e-18
1368.0 -2.2345374124663928e-17
1369.0 -4.928865628654126e-18
1370.0 -9.269463955033112e-18
1371.0 -9.561090311221468e-18
1372.0 -2.831412985693148e-17
1373.0 -1.1267714781901053e-17
1374.0 -3.518545450603212e-18
1375.0 -4.688980763315825e-18
1376.0 2.634305109962415e-18
1377.0 -5.246600087252186e-18
1378.0 1.2037616213030937e-17
1379.0 8.616286113451749e-18
1380.0 -4.043833831141216e-18
1381.0 -1.2588601209827164e-17
1382.0 1.24841083169602e-17
1383.0 -7.139675267408042e-18
1384.0 -1.8575789305450875e-19
1385.0 -3.2383292896702687e-18
1386.0 -5.342937097604206e-18
1387.0 -1.3714840323721512e-17
1388.0 -4.775381775655715e-18
1389.0 -4.654514823222734e-18
1390.0 3.1053171119388907e-18
1391.0 -4.926095043768623e-19
1392.0 -2.6837666665052196e-18
1393.0 1.2876449298566933e-17
1394.0 1.3033459173324431e-17
