#WAVELENGTH FLUX
1950.05 2.5726749420849294e-30
1950.1 5.455464926021211e-28
1950.15 2.711728875525069e-30
1950.2 3.796107788073113e-30
1950.25 3.2434308762697164e-29
1950.3 8.718910168470268e-30
1950.35 9.771061062242735e-28
1950.4 1.3760408944205386e-28
1950.45 6.047911396874798e-29
1950.5 1.5109622250441495e-30
1950.55 6.93460611564524e-29
1950.6 2.388579594740341e-29
1950.65 2.9082149616927477e-29
1950.7 3.2954670939564e-30
1950.75 1.167868142349854e-27
1950.8 5.819422285439306e-29
1950.85 3.296034300325599e-30
1950.9 5.005767581175339e-28
1950.95 1.963181004739162e-30
1951.0 7.330991992648781e-29
1951.05 1.6427735847461976e-29
1951.1 7.6489748900386e-29
1951.15 9.353072018298066e-29
1951.2 1.2066382506419575e-28
1951.25 8.90007202170618e-28
1951.3 6.057201415655418e-28
1951.35 4.472632848198233e-30
1951.4 8.670981130822207e-30
1951.45 1.9927062993961274e-28
1951.5 2.2403585641232067e-30
1951.55 4.171177428619506e-30
1951.6 3.169001129503632e-30
1951.65 2.546206912692204e-28
1951.7 6.665343050358619e-28
1951.75 1.0291303446689953e-29
1951.8 8.012260360407695e-28
1951.85 5.812105415285748e-30
1951.9 2.1354885660970295e-30
1951.95 2.305512241227666e-29
1952.0 2.6220791033144973e-30
1952.05 6.109005162642004e-29
1952.1 1.1333702248964733e-29
1952.15 5.756349239933442e-28
1952.2 9.685759563424191e-29
1952.25 5.087206447746961e-30
1952.3 5.18383176725967e-29
1952.35 3.085003019458916e-28
1952.4 1.7550525881400583e-30
1952.45 3.431568761357549e-30
1952.5 2.471535180737867e-30
1952.55 1.2962729643469202e-29
1952.6 5.907842325749944e-30
1952.65 2.209091050648588e-28
1952.7 1.5018890749067872e-28
1952.75 2.9124957436112215e-29
1952.8 1.300002144241752e-28
1952.85 2.4857998597338872e-29
1952.9 1.0449695301308988e-29
1952.95 1.4346132954572616e-28
1953.0 2.085126828424657e-33
1953.05 9.508039179622911e-29
1953.1 3.5136899063558286e-28
1953.15 3.461290645359706e-30
1953.2 2.4633056564414253e-28
1953.25 6.154431955269162e-28
1953.3 1.696300401657455e-28
1953.35 4.209097655291875e-28
1953.4 2.260056496617545e-28
1953.45 2.799437397783666e-30
1953.5 1.1582534510976187e-28
1953.55 2.5952861803147127e-30
1953.6 6.939271510710438e-29
1953.65 1.198799075782314e-27
1953.7 2.863880398759959e-28
1953.75 2.6589055152127187e-28
1953.8 2.791919032244853e-28
1953.85 1.7058819051780832e-28
1953.9 9.700569040600539e-28
1953.95 8.197240867059005e-29
1954.0 1.9897413582415508e-28
1954.05 3.2328689812274425e-29
1954.1 1.794476738135732e-29
1954.15 8.070949508993426e-29
1954.2 4.797722765519708e-29
1954.25 1.0778440189961415e-27
1954.3 1.6100096834727465e-27
1954.35 1.2609508623140936e-27
1954.4 3.45992945188267e-30
1954.45 2.0069636104388346e-29
1954.5 1.444771507025191e-27
1954.55 1.7413223975868468e-29
1954.6 4.883678299860335e-28
1954.65 2.6482554407453404e-30
1954.7 9.63141459821898e-30
1954.75 2.85724855942798e-28
1954.8 8.597374203129039e-28
1954.85 3.65069732172937e-30
1954.9 1.0003571485593274e-29
1954.95 1.5389471993828863e-27
1955.0 5.792294228503386e-28
1955.05 6.694351690776352e-29
1955.1 2.0927351258227955e-30
1955.15 3.736803512294873e-28
1955.2 3.464710896828647e-29
1955.25 4.13444306455825e-28
1955.3 6.162521018622332e-30
1955.35 2.228681555639529e-28
1955.4 9.802051575934874e-28
1955.45 5.915287457002292e-30
1955.5 4.052683537049533e-28
1955.55 3.4459812265172827e-28
1955.6 2.885415060730671e-28
1955.65 5.455745332557465e-28
1955.7 2.780331022656841e-32
1955.75 1.426465211298613e-28
1955.8 2.9981054088428457e-30
1955.85 2.785955838016072e-29
1955.9 7.047054034504098e-30
1955.95 2.4745950858465426e-28
1956.0 7.794484609131314e-31
1956.05 3.411442460845526e-30
1956.1 5.347365801198551e-28
1956.15 1.2710190167357337e-27
1956.2 1.0150945933273337e-27
1956.25 4.6950747566286494e-30
1956.3 7.876098428540392e-29
1956.35 9.294309435022296e-30
1956.4 3.706684793287636e-30
1956.45 9.563890974090147e-28
1956.5 8.092757240316668e-28
1956.55 5.218271104660625e-29
1956.6 1.2502235622204858e-28
1956.65 2.236850168850809e-28
1956.7 3.236262555433246e-28
1956.75 4.712211861217274e-30
1956.8 6.475022702713257e-28
1956.85 4.6195521461115695e-28
1956.9 2.8068802311376312e-30
1956.95 4.773554207216668e-30
1957.0 4.929109674863417e-29
1957.05 6.227137307383924e-28
1957.1 1.396683505410139e-27
1957.15 2.792275111867788e-29
1957.2 7.565468478275524e-28
1957.25 6.206542371417613e-29
1957.3 2.8939442433723795e-28
1957.35 6.908829046568213e-30
1957.4 4.037019379841918e-28
1957.45 1.5281112412144023e-27
1957.5 1.7890905256366567e-28
1957.55 1.2225800234332721e-27
1957.6 1.4448459328040763e-28
1957.65 4.583093272150265e-30
1957.7 2.950874671607504e-29
1957.75 3.2300718286876e-28
1957.8 4.2890173811645236e-29
1957.85 8.928944161650388e-33
1957.9 1.4269231079210404e-28
1957.95 3.3684661120565606e-28
1958.0 2.519739914363065e-28
1958.05 1.141060530860709e-27
1958.1 2.0977832803101765e-28
1958.15 4.111656562069163e-30
1958.2 9.905683640003217e-28
1958.25 8.532127425561748e-28
1958.3 3.416574365281403e-30
1958.35 9.338507810278808e-29
1958.4 4.847757557763883e-30
1958.45 1.461708209967717e-28
1958.5 6.367072621396282e-28
1958.55 3.203164993241039e-28
1958.6 1.4027995887621842e-30
1958.65 3.5862149140488248e-28
1958.7 8.244299060153643e-30
1958.75 5.837739898865964e-29
1958.8 4.179053846993436e-29
1958.85 3.8649090799508174e-28
1958.9 5.331075471445273e-28
1958.95 3.749228496391067e-30
1959.0 6.813734239598221e-28
1959.05 9.889090350529515e-28
1959.1 7.459055618057791e-30
1959.15 1.8207432345535701e-28
1959.2 5.74383027412673e-28
1959.25 4.928583802671937e-28
1959.3 1.1588279082398688e-27
1959.35 5.391430134963251e-28
1959.4 7.659679961931814e-30
1959.45 6.88156608505429e-30
1959.5 7.231767601769225e-30
1959.55 4.465627647988519e-28
1959.6 1.2132729952097136e-27
1959.65 3.170314472432798e-30
1959.7 2.058680420966754e-28
1959.75 1.1942693952360957e-29
1959.8 8.300187624605426e-29
1959.85 5.937615314557461e-28
1959.9 3.4806008899612975e-28
1959.95 2.2855705447481066e-28
1960.0 5.148044962296615e-28
1960.05 2.8207528764600713e-28
1960.1 4.8981622444998524e-30
1960.15 2.0923963473763898e-30
1960.2 1.9374180633426948e-28
1960.25 1.1356843651043588e-27
1960.3 3.1489020503294936e-28
1960.35 5.597627465537723e-30
1960.4 1.2698860010851376e-27
1960.45 2.0168018301602766e-29
1960.5 5.330689482767698e-29
1960.55 7.271130162881274e-28
1960.6 1.2865539393707865e-28
1960.65 2.6643446843388954e-28
1960.7 6.648854287993047e-30
1960.75 8.08864547101868e-28
1960.8 7.573487953305877e-29
1960.85 4.830963766481953e-28
1960.9 1.0773577044811392e-30
1960.95 6.572488394864604e-29
1961.0 2.5432557942123056e-28
1961.05 3.4115270104903156e-30
1961.1 7.550258154450415e-28
1961.15 8.464594920148711e-28
1961.2 2.2110266375830117e-29
1961.25 5.440868942895941e-31
1961.3 1.699267993136011e-29
1961.35 1.327731791790308e-28
1961.4 1.6523147790461376e-28
1961.45 8.400472946365981e-29
1961.5 9.242243016021226e-30
1961.55 2.2891450382803376e-30
1961.6 2.0824885354398176e-29
1961.65 1.8933758945904943e-28
1961.7 6.054617651944554e-29
1961.75 7.311277070371023e-29
1961.8 3.1995148379879473e-29
1961.85 4.948421252506134e-28
1961.9 1.648114503349449e-28
1961.95 4.7789143825429065e-28
1962.0 3.7086059403823008e-28
1962.05 3.5543059047425e-29
1962.1 4.8574656833844634e-30
1962.15 5.038230364253841e-28
1962.2 3.1032692462797e-29
1962.25 4.026842375177961e-28
1962.3 1.6313208958017295e-29
1962.35 3.336416101047247e-28
1962.4 5.857649170662955e-29
1962.45 3.6576155717560636e-29
1962.5 3.8084784234497736e-30
1962.55 2.222711151908377e-28
1962.6 7.122607462362801e-28
1962.65 8.262051077162886e-29
1962.7 5.727875996461482e-28
1962.75 8.797152845842875e-29
1962.8 2.811057242515256e-28
1962.85 5.590027775777847e-29
1962.9 4.5506025537295415e-30
1962.95 1.946436171005723e-28
1963.0 7.876754921726971e-28
1963.05 3.7406489425400584e-30
1963.1 2.2965390924591217e-30
1963.15 3.041126429300917e-29
1963.2 4.248329311486555e-28
1963.25 4.436821918301738e-30
1963.3 4.104128533687045e-28
1963.35 4.040336847197711e-28
1963.4 4.7654052503357444e-29
1963.45 7.187321557683149e-28
1963.5 4.310357403053373e-28
1963.55 4.437872350247458e-28
1963.6 2.3413629730547257e-28
1963.65 5.694526660942553e-30
1963.7 1.6704199748264803e-28
1963.75 9.345938315892238e-28
1963.8 9.438273697158542e-29
1963.85 2.386189210012336e-30
1963.9 9.003679502809257e-30
1963.95 5.008806685234998e-28
1964.0 6.8214649125464365e-28
1964.05 3.121673448074456e-30
1964.1 3.669504094399677e-28
1964.15 1.5489221076150177e-28
1964.2 7.041809507818168e-29
1964.25 1.4070725825720409e-27
1964.3 1.1388256832735498e-27
1964.35 9.925307085490328e-28
1964.4 1.1027672017522e-28
1964.45 1.4595259572451637e-28
1964.5 2.1843111679482543e-29
1964.55 2.838310337214511e-28
1964.6 5.0081602128616074e-30
1964.65 1.0393278802163537e-28
1964.7 7.607164129405545e-29
1964.75 3.666740484595563e-28
1964.8 4.202547149228644e-30
1964.85 3.4419219253928205e-28
1964.9 6.321015438867453e-29
1964.95 2.731680025950283e-29
1965.0 2.688265764035332e-29
1965.05 2.0911476430967136e-27
1965.1 1.6526093924679384e-29
1965.15 3.0838380576472987e-28
1965.2 1.223302876051685e-28
1965.25 3.5355356016534235e-29
1965.3 7.213510828048097e-28
1965.35 1.3699486648670156e-27
1965.4 2.991482786884502e-29
1965.45 6.827842993980322e-29
1965.5 4.82323399955776e-28
1965.55 9.818345856366361e-29
1965.6 4.0259971964833736e-30
1965.65 6.100118927293423e-28
1965.7 3.4513980554745195e-28
1965.75 1.902818725026606e-29
1965.8 4.788244813855166e-29
1965.85 1.7722476704174207e-27
1965.9 4.249825104793172e-29
1965.95 2.802455996423334e-29
1966.0 3.3749579579666926e-29
1966.05 1.5841012849180482e-28
1966.1 5.619843486925402e-28
1966.15 9.933388595003933e-30
1966.2 1.347856278052159e-29
1966.25 1.2141117658989776e-28
1966.3 8.961389803891883e-28
1966.35 1.0408419364476947e-29
1966.4 4.0570089884232835e-28
1966.45 9.34460374676899e-28
1966.5 1.2993496456078238e-27
1966.55 1.0872481817700225e-28
1966.6 3.884372626822192e-29
1966.65 3.5701842963151976e-29
1966.7 1.159364077431836e-29
1966.75 2.0840026466154416e-28
1966.8 3.3056293501242997e-28
1966.85 4.824042274589061e-28
1966.9 3.340144451199632e-28
1966.95 2.079953408915354e-28
1967.0 3.899516542424654e-30
1967.05 1.8435823710348056e-29
1967.1 1.7683102752192533e-27
1967.15 1.4222790711360809e-28
1967.2 1.5572358317812124e-29
1967.25 4.24070615946145e-30
1967.3 6.322475396193168e-28
1967.35 2.5511311443201844e-29
1967.4 1.4271729007580786e-29
1967.45 5.022481046594292e-29
1967.5 2.0126162173991106e-28
1967.55 1.8874452873297576e-29
1967.6 5.362237014354282e-28
1967.65 1.0524043957910567e-28
1967.7 1.1838062059184413e-29
1967.75 1.8287673992598767e-28
1967.8 4.280860229856485e-28
1967.85 3.210771467920811e-29
1967.9 6.754798759138116e-28
1967.95 2.7649491596036693e-28
1968.0 2.8347773377801135e-29
1968.05 2.2500762574824012e-29
1968.1 4.9241292601593356e-30
1968.15 2.1732285467642584e-28
1968.2 9.664109211842951e-30
1968.25 5.416229193101303e-29
1968.3 6.306821256826016e-28
1968.35 6.445738666629772e-29
1968.4 7.923021467463967e-30
1968.45 2.8672517401008727e-28
1968.5 8.99283120348422e-30
1968.55 4.016904187015681e-30
1968.6 5.813042836044305e-30
1968.65 8.076373720185337e-28
