Band, Wavelength, Flux, Error
2MASS_H,1.662,9.032956314e-15,1.74712864656e-16
2MASS_J,1.235,1.38869081538e-14,2.81386931785e-16
2MASS_Ks,2.159,5.03672308552e-15,1.06696848147e-16
Gaia_BP,0.55,1.67060076501e-16,7.38566480229e-18
Gaia_RP,0.75,4.58154632566e-15,4.64173611982e-17
PS_g,0.477562,1.36671706682e-16,2.51758587551e-18
PS_i,0.74846,2.71157848977e-15,2.74720169198e-17
PS_r,0.62195,3.15455416914e-16,3.19599693816e-18
PS_y,0.96031,1.16085966755e-14,1.17611039285e-16
PS_z,0.86578,6.96645213904e-15,7.05797349242e-17
WISE_W1,3.3526,1.21530218376e-15,2.57446975646e-17
WISE_W2,4.6028,4.48866438949e-16,8.26842536856e-18
WISE_W3,11.5608,1.55425075165e-17,5.86922316288e-19
