WAVELENGTH FLUX
1214.0294335711806 -2.400275912854013e-16
1214.0828044992124 -2.400035479690149e-16
1214.1361750815258 -2.3997950480837286e-16
1214.1895453181273 -2.399554618034722e-16
1214.242915209023 -2.399314189543101e-16
1214.2962847542199 -2.399073762608834e-16
1214.349653953725 -2.3988333372318914e-16
1214.4030228075446 -2.3985929134122407e-16
1214.456391315686 -2.3983524911498556e-16
1214.5097594781553 -2.3981120704447013e-16
1214.5631272949595 -2.3978716512967524e-16
1214.616494766105 -2.3976312337059765e-16
1214.6698618915993 -2.397390817672339e-16
1214.7232286714482 -2.3971504031958183e-16
1214.7765951056595 -2.396909990276375e-16
1214.8299611942384 -2.3966695789139853e-16
1214.883326937193 -2.3964291691086177e-16
1214.9366923345292 -2.3961887608602406e-16
1214.9900573862542 -2.3959483541688235e-16
1215.0434220923742 -2.395707949034339e-16
1215.0967864528966 -2.395467545456753e-16
1215.1501504678274 -2.3952271434360373e-16
1215.2035141371741 -2.3949867429721623e-16
1215.2568774609426 -2.3947463440650955e-16
1215.31024043914 -2.3945059467148087e-16
1215.363603071773 -2.3942655509212723e-16
1215.4169653588485 -2.394025156684452e-16
1215.4703273003727 -2.393784764004322e-16
1215.523688896353 -2.39354437288085e-16
1215.5770501467955 -2.3933039833140064e-16
1215.6304110517074 -2.3930635953037597e-16
1215.683771611095 -2.3928232088500835e-16
1215.7371318249648 -2.3925828239529432e-16
1215.7904916933244 -2.3923424406123084e-16
1215.8438512161795 -2.3921020588281533e-16
1215.8972103935378 -2.3918616786004435e-16
1215.9505692254054 -2.3916212999291503e-16
1216.0039277117892 -2.3913809228142417e-16
1216.0572858526962 -2.391140547255691e-16
1216.110643648132 -2.390900173253466e-16
1216.1640010981046 -2.390659800807535e-16
1216.2173582026198 -2.390419429917871e-16
1216.2707149616847 -2.3901790605844433e-16
1216.3240713753062 -2.389938692807218e-16
1216.3774274434911 -2.389698326586168e-16
1216.4307831662452 -2.3894579619212624e-16
1216.4841385435761 -2.3892175988124717e-16
1216.5374935754905 -2.3889772372597634e-16
1216.5908482619946 -2.388736877263111e-16
1216.6442026030952 -2.3884965188224804e-16
1216.6975565987993 -2.3882561619378437e-16
1216.7509102491135 -2.38801580660917e-16
1216.8042635540442 -2.3877754528364313e-16
1216.8576165135987 -2.3875351006195925e-16
1216.9109691277831 -2.387294749958626e-16
1216.9643213966044 -2.3870544008535043e-16
1217.01767332007 -2.3868140533041923e-16
1217.0710248981852 -2.386573707310664e-16
1217.1243761309574 -2.386333362872885e-16
1217.1777270183936 -2.3860930199908296e-16
1217.2310775605006 -2.385852678664462e-16
1217.284427757284 -2.38561233889376e-16
1217.3377776087516 -2.385372000678686e-16
1217.3911271149095 -2.3851316640192137e-16
1217.444476275765 -2.38489132891531e-16
1217.4978250913246 -2.384650995366948e-16
