WAVELENGTH FLUX
1214.0203859702126 3.5155474156232677e-19
1214.073565616413 4.71250180624789e-19
1214.1267449719921 5.409883945899993e-19
1214.179924036956 6.0887740824828e-19
1214.233102811309 6.829176635693272e-19
1214.2862812950555 7.660751276556239e-19
1214.3394594882006 8.619830132783256e-19
1214.3926373907495 9.747013407611079e-19
1214.4458150027062 1.1086938215881001e-18
1214.4989923240755 1.2691166283605228e-18
1214.5521693548628 1.46543878156898e-18
1214.605346095072 1.7459000776603437e-18
1214.658522544709 2.3758449990404355e-18
1214.7116987037773 4.195756745688966e-18
1214.7648745722827 9.293750414157072e-18
1214.818050150229 2.2829121196226434e-17
1214.8712254376214 5.567610243902308e-17
1214.9244004344655 1.2656758046170917e-16
1214.977575140765 2.620988103614506e-16
1215.030749556525 5.067697149144162e-16
1215.08392368175 1.0306471037468351e-15
1215.1370975164452 2.4666511024250004e-15
1215.190271060615 5.715386612254134e-15
1215.2434443142645 9.450719729241068e-15
1215.2966172773986 9.567797924224944e-15
1215.3497899500212 5.9106756257391035e-15
1215.4029623321373 2.5764582146291348e-15
1215.4561344237527 1.0706459158737034e-15
1215.5093062248711 5.229175208743367e-16
1215.562477735498 2.7077117133094773e-16
1215.6156489556372 1.3132815278473268e-16
1215.6688198852944 5.801388135565389e-17
1215.7219905244738 2.3842621568277983e-17
1215.77516087318 9.688525004029203e-18
1215.8283309314183 4.339836835786559e-18
1215.8815006991936 2.4258729813781784e-18
1215.93467017651 1.7644173207387175e-18
1215.9878393633728 1.4763317798410202e-18
1216.0410082597862 1.277762350366022e-18
1216.0941768657556 1.1159610542210858e-18
1216.1473451812853 9.810110188991593e-19
1216.2005132063805 8.679022134134799e-19
1216.2536809410453 7.726171738898042e-19
1216.306848385285 6.918482522720948e-19
1216.3600155391046 6.229242593501083e-19
1216.4131824025076 5.637110422436317e-19
1216.4663489755 5.125077204480929e-19
1216.5195152580866 4.679460606525871e-19
1216.572681250271 4.2892373216456406e-19
1216.6258469520594 3.945072133135403e-19
1216.6790123634553 3.6386390759253827e-19
1216.732177484464 3.3614972515709445e-19
1216.7853423150905 3.104588469470769e-19
1216.8385068553391 2.85851638049784e-19
1216.8916711052152 2.615173114334188e-19
1216.9448350647228 2.338025470401337e-19
1216.997998733867 1.7763875987420363e-19
