,LyA_intrinsic_profile_bestfit,LyA_intrinsic_profile_high_1sig,LyA_intrinsic_profile_high_2sig,LyA_intrinsic_profile_low_1sig,LyA_intrinsic_profile_low_2sig,LyA_intrinsic_profile_median,LyA_model_high_1sig,LyA_model_high_2sig,LyA_model_low_1sig,LyA_model_low_2sig,LyA_model_median,cont,error,flux,model_best_fit,wave,LyA_intrinsic_flux_bestfit,LyA_intrinsic_flux_high_1sig,LyA_intrinsic_flux_high_2sig,LyA_intrinsic_flux_low_1sig,LyA_intrinsic_flux_low_2sig,LyA_intrinsic_flux_median
0,3.515547415623268e-19,7.602636167667991e-19,1.0857264117416475e-17,3.6525701973489537e-19,2.960900903865389e-19,4.9283088436626815e-19,7.378863172415474e-19,1.0653936012383256e-17,3.5778478722540074e-19,2.90762420479478e-19,4.807405284133224e-19,-1.518141568552155e-16,5.204213311702933e-17,1.212153319321774e-17,3.436164658422943e-19,1214.0203859702124,2.1176984082534272e-15,2.9603237124958305e-15,4.323037049046741e-15,1.6758267817930067e-15,1.5597979059098347e-16,2.1640410633401627e-15
1,4.71250180624789e-19,1.0181794355067606e-18,1.4281134341109565e-17,4.895981500005555e-19,3.9695145603093027e-19,6.603657793134235e-19,9.869201462157266e-19,1.3979342108395465e-17,4.790341112625068e-19,3.894331120029488e-19,6.434678996760751e-19,-1.516888836818092e-16,5.204213311702933e-17,5.5666846132331e-17,4.600982019698185e-19,1214.0735656164127,,,,,,
2,5.409883945899993e-19,1.1676457962021e-18,1.593077966409555e-17,5.619813361847478e-19,4.557354046949867e-19,7.577021239937815e-19,1.1291596734234076e-18,1.5574150941092298e-17,5.490590296724832e-19,4.465223990932377e-19,7.370911323587446e-19,-1.5156361119300675e-16,5.204213311702933e-17,4.365774815057248e-17,5.273349571580934e-19,1214.1267449719921,,,,,,
3,6.0887740824828e-19,1.3129797858556711e-18,1.7328639225647714e-17,6.324014448492769e-19,5.1295054894903495e-19,8.523533297801705e-19,1.266382220385992e-18,1.688814742384258e-17,6.168284407221357e-19,5.018298644745052e-19,8.274469486037371e-19,-1.5143833938879595e-16,5.204213311702933e-17,-1.180139757048875e-17,5.924000645802348e-19,1214.179924036956,,,,,,
4,6.829176635693273e-19,1.4710869218570346e-18,1.8695468246254497e-17,7.09218663510343e-19,5.753513564133188e-19,9.554492193206722e-19,1.4145281005031828e-18,1.817541344085083e-17,6.90464372909599e-19,5.618902626045039e-19,9.25510268113168e-19,-1.5131306826916574e-16,5.204213311702933e-17,1.890385837438365e-18,6.630197421586744e-19,1214.233102811309,,,,,,
5,7.660751276556239e-19,1.647784537938446e-18,2.0127764528052604e-17,7.955105102283371e-19,6.451688008043961e-19,1.0712883999532654e-18,1.5797060043248135e-18,1.955862924897095e-17,7.727930506049519e-19,6.292581537929886e-19,1.0349013932450058e-18,-1.5118779783410508e-16,5.204213311702933e-17,-7.167783835799466e-17,7.419405265453414e-19,1214.2862812950557,,,,,,
6,8.619830132783257e-19,1.8532569339001986e-18,2.1581313453722482e-17,8.947991153689693e-19,7.259245330871426e-19,1.2051027283946279e-18,1.7686974972591992e-18,2.0968208079963664e-17,8.668876247773905e-19,7.065947925065381e-19,1.1602155497634748e-18,-1.5106252808360252e-16,5.204213311702933e-17,4.723594771703598e-17,8.324983464902595e-19,1214.3394594882009,,,,,,
7,9.74701340761108e-19,2.0948930309929008e-18,2.323130120426066e-17,1.0117883925944924e-18,8.2049380079065825e-19,1.3627553960272756e-18,1.9901692620810477e-18,2.247333006211628e-17,9.766700904716673e-19,7.966313555423131e-19,1.3074644126843816e-18,-1.5093725901764704e-16,5.204213311702933e-17,3.8784213927577783e-17,9.383580977367793e-19,1214.3926373907495,,,,,,
8,1.1086938215881e-18,2.3850493491823494e-18,2.493240598148293e-17,1.1504168222086583e-18,9.32132026848654e-19,1.5505495017444924e-18,2.254822405286237e-18,2.4081013028276012e-17,1.1075534175365325e-18,9.032551322299476e-19,1.4818898697812168e-18,-1.5081199063622718e-16,5.204213311702933e-17,4.6685149573954786e-17,1.0634574996709365e-18,1214.4458150027062,,,,,,
9,1.269116628360523e-18,2.7363271176489194e-18,2.681713353623728e-17,1.3163192946980265e-18,1.0660123997658878e-18,1.7767687290561442e-18,2.572449858280929e-18,2.5835713227490583e-17,1.2627856946159902e-18,1.0293240886710873e-18,1.6907929694910717e-18,-1.506867229393319e-16,5.204213311702933e-17,5.4352949447903527e-17,1.2122138405652346e-18,1214.4989923240757,,,,,,
10,1.46543878156898e-18,3.170199344471165e-18,2.8870998554584264e-17,1.5216182675899796e-18,1.2301365455403773e-18,2.057803612407643e-18,2.9595717217701244e-18,2.771395791627373e-17,1.4512005412907741e-18,1.183000244108055e-18,1.9474926808757665e-18,-1.5056145592695057e-16,5.204213311702933e-17,3.2129540714451527e-17,1.3924591538192136e-18,1214.5521693548628,,,,,,
11,1.7459000776603437e-18,3.749555163783131e-18,3.1161552754771555e-17,1.8168642575906697e-18,1.4746625109910734e-18,2.4444859477539898e-18,3.4680086418659892e-18,2.9739741797915576e-17,1.7177341753897175e-18,1.406711284175292e-18,2.2919192372744614e-18,-1.5043618959907134e-16,5.204213311702933e-17,-9.317118859291563e-17,1.642586541316359e-18,1214.605346095072,,,,,,
12,2.3758449990404355e-18,4.801853255102506e-18,3.361244785424421e-17,2.4636768820724644e-18,2.042381268793465e-18,3.229853729722284e-18,4.320911142307469e-18,3.204443593541845e-17,2.2648417446316753e-18,1.897557590253296e-18,2.9383002664237492e-18,-1.5031092395568197e-16,5.204213311702933e-17,-1.729197062094074e-17,2.1633411708030068e-18,1214.658522544709,,,,,,
13,4.195756745688966e-18,7.469309219537037e-18,3.630223198782254e-17,4.2604020033720844e-18,3.639345412783304e-18,5.331694187446464e-18,6.0701609922174766e-18,3.441156518335585e-17,3.6364727304450045e-18,3.1827015008703155e-18,4.4351926921155e-18,-1.5018565899677341e-16,5.204213311702933e-17,-1.4639181379119157e-16,3.4915282466316794e-18,1214.7116987037773,,,,,,
14,9.293750414157071e-18,1.4668241380165238e-17,3.920413032074314e-17,9.147361793974804e-18,7.974956647595427e-18,1.09919818433983e-17,1.0010832783380122e-17,3.6999446073425003e-17,7.055537323287537e-18,6.408258981665746e-18,8.06288947812339e-18,-1.5006039472233264e-16,5.204213311702933e-17,7.591435419005961e-17,6.8516295753069085e-18,1214.7648745722827,,,,,,
15,2.2829121196226434e-17,3.30333582004338e-17,4.521025728820333e-17,2.176206005208911e-17,1.913433370430935e-17,2.570136543346876e-17,1.960039762621901e-17,3.978283232693698e-17,1.56242029220103e-17,1.4486908559797446e-17,1.7141526484772243e-17,-1.499351311323498e-16,5.204213311702933e-17,-9.475742361203819e-17,1.547877512949007e-17,1214.818050150229,,,,,,
16,5.56761024390231e-17,7.283265338378324e-17,9.441965819892465e-17,4.9520415736402666e-17,3.802154345307992e-17,5.884997196622628e-17,4.050071134969223e-17,4.532122499217734e-17,3.491251685102001e-17,3.236978630341445e-17,3.750151972199176e-17,-1.4980986822681304e-16,5.204213311702933e-17,1.5557376419842522e-16,3.5351763164624404e-17,1214.8712254376217,,,,,,
17,1.2656758046170917e-16,1.6545355244146012e-16,2.1814186163752683e-16,1.0884390270474685e-16,4.09257745731332e-17,1.31959567774744e-16,8.362136568938495e-17,8.874472764383271e-17,7.322023532827704e-17,3.7944970565471384e-17,7.873011798616887e-17,-1.4968460600571054e-16,5.204213311702933e-17,-4.247425749282464e-16,7.614155228629301e-17,1214.9244004344655,,,,,,
18,2.620988103614506e-16,3.4451419582773236e-16,4.608042791194921e-16,2.225317733967424e-16,4.402604177286078e-17,2.7181169173153925e-16,1.6246413242864933e-16,1.7144774066840142e-16,1.440226393695528e-16,4.035136602789564e-17,1.5386993049650458e-16,-1.4955934446903126e-16,5.204213311702933e-17,-6.790813303176751e-16,1.5006897301487662e-16,1214.977575140765,,,,,,
19,5.067697149144162e-16,6.641643668951336e-16,8.902810184295063e-16,4.3081869820367823e-16,4.7229535148692925e-17,5.249621505752259e-16,3.0611756796697304e-16,3.274591200837389e-16,2.666419638714871e-16,4.2715085029813086e-17,2.868383844883863e-16,-1.4943408361676494e-16,1.0811708320596612e-16,5.973815011350352e-16,2.8227716331255074e-16,1215.030749556525,,,,,,
20,1.0306471037468353e-15,1.315856518995622e-15,1.7178159481878016e-15,8.854535979241127e-16,5.0555725578395473e-17,1.0641068010075505e-15,6.546407971389093e-16,7.112869034990998e-16,5.417111647797055e-16,4.5043906470438484e-17,5.998252739750474e-16,-1.4930882344890014e-16,1.6299518077995907e-16,2.066406943028104e-15,5.972648373578918e-16,1215.08392368175,,,,,,
21,2.4666511024250004e-15,3.093019464489507e-15,3.956191421161897e-15,2.111005536152799e-15,5.392006427551751e-17,2.526574438594984e-15,1.6479851296752185e-15,1.755431916246829e-15,1.4052710229271414e-15,4.74057825674821e-17,1.5360726225702229e-15,-1.4918356396542503e-16,1.4862659261333834e-16,1.2082849477966605e-15,1.5327030585816083e-15,1215.1370975164452,,,,,,
22,5.715386612254134e-15,7.461272952629745e-15,9.995286191989144e-15,4.709937706600052e-15,5.75133239382578e-17,5.822438715459591e-15,3.592122270866965e-15,3.758790232197839e-15,3.209702213453518e-15,4.931116208943089e-17,3.4174694334903032e-15,-1.4905830516632857e-16,2.43594309582036e-16,4.383579069534628e-15,3.4089774040957478e-15,1215.190271060615,,,,,,
23,9.450719729241068e-15,1.3151709030076042e-14,1.887301385906964e-14,7.39580110357002e-15,6.10266900276751e-17,9.632803129641978e-15,4.727971126571784e-15,4.9312264791952476e-15,4.2363683110173104e-15,5.0814672439879083e-17,4.504965546722749e-15,-1.489330470515997e-16,2.4926434885683966e-16,4.4785520853354755e-15,4.499845581715842e-15,1215.2434443142645,,,,,,
