WAVELENGTH FLUX
1214.0294335711806 -4.921958742706085e-17
1214.0828044992124 1.3584458054554476e-17
1214.1361750815258 4.7618878486118166e-17
1214.1895453181273 7.933403995836162e-17
1214.242915209023 1.1285775868799123e-16
1214.2962847542199 1.494097783766262e-16
1214.349653953725 1.9050031307472622e-16
1214.4030228075446 2.3787162524265106e-16
1214.456391315686 2.935694769546596e-16
1214.5097594781553 3.5984151467348216e-16
1214.5631272949595 4.3999501381243495e-16
1214.616494766105 5.383084239667698e-16
1214.6698618915993 6.60574520517791e-16
1214.7232286714482 8.151650960841643e-16
1214.7765951056595 1.0139689998618046e-15
1214.8299611942384 1.2766329204233342e-15
1214.883326937193 1.6340432120965223e-15
1214.9366923345292 2.1319438642908817e-15
1214.9900573862542 2.8342034804268285e-15
1215.0434220923742 3.841143399511069e-15
1215.0967864528966 5.316329212849894e-15
1215.1501504678274 7.446926918629127e-15
1215.2035141371741 1.0442132057039506e-14
1215.2568774609426 1.4431057585683163e-14
1215.31024043914 1.9199621231399638e-14
1215.363603071773 2.3795649228733325e-14
1215.4169653588485 2.6683555812603744e-14
1215.4703273003727 2.6640859196874376e-14
1215.523688896353 2.3684635462167656e-14
1215.5770501467955 1.906160878642575e-14
1215.6304110517074 1.4315316606211768e-14
1215.683771611095 1.0351736729502638e-14
1215.7371318249648 7.381793960093787e-15
1215.7904916933244 5.271863965243489e-15
1215.8438512161795 3.812922096508469e-15
1215.8972103935378 2.8167106106462955e-15
1215.9505692254054 2.1193809707328928e-15
1216.0039277117892 1.6249329845411575e-15
1216.0572858526962 1.2704031991402632e-15
1216.110643648132 1.0094798057635839e-15
1216.1640010981046 8.119185915563758e-16
1216.2173582026198 6.586103287444791e-16
1216.2707149616847 5.367256144462573e-16
1216.3240713753062 4.3895821346460794e-16
1216.3774274434911 3.5916281333364137e-16
1216.4307831662452 2.931329533451735e-16
1216.4841385435761 2.3775859118393576e-16
1216.5374935754905 1.9085247198938358e-16
1216.5908482619946 1.5072946200262762e-16
1216.6442026030952 1.160463572873791e-16
1216.6975565987993 8.583122034239776e-17
1216.7509102491135 5.936075274638799e-17
1216.8042635540442 3.601600289635421e-17
1216.8576165135987 1.5334775862459777e-17
1216.9109691277831 -3.0823821992344123e-18
1216.9643213966044 -1.9552872084062727e-17
1217.01767332007 -3.434862533014135e-17
1217.0710248981852 -4.769381359518513e-17
1217.1243761309574 -5.980346693716744e-17
1217.1777270183936 -7.089608088160222e-17
1217.2310775605006 -8.123452905242444e-17
1217.284427757284 -9.11547398005398e-17
1217.3377776087516 -1.0102473731936185e-16
1217.3911271149095 -1.1117824436296226e-16
1217.444476275765 -1.234039107592095e-16
1217.4978250913246 -1.5034640498911498e-16
